"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ LETROZOLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae",13.6196118982283,12.8994461414624,15.0685300461115,4.48494619587692,10.3628648191629,16.742508213063,14.4772172636079,8.84262360704566,13.6861332177384,14.9378997371082,12.7239645082626,13.078546668057,8.58761523624464,16.243690447422,11.1461594153438,14.6506850597903,11.0046195473739,16.0273678125036,12.6052715676355,13.5659465646304,15.4641641265088,17.9552326982713,16.6413620556992,2.30938332950618,4.3836710127533,0.490133900268051,-1.86387679722896,7.68669647395379,0.265625061111446,0.067522141338962,1,0.0815440364588972,1
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae",-1.844975551415,-1.92692173871792,-1.75477064179185,-1.32096404724236,-2.67088680457905,-2.30687536357688,6.2776122184727,-2.35707396452317,-1.8842571913255,-2.29633280640802,-2.62101781936352,-2.00503147394505,-2.14345660366587,-2.66604251669714,0.661468507270488,-2.54323889349435,-1.60358679016826,-0.517762444905845,-1.46517442222351,-1.81556087761639,-2.32487953449786,-2.69532081839409,-2.74211729088562,0.116805965316804,4.97413003359951,0.0182279779965829,-5.06459823185737,3.45125560169612,0.490625001908018,0.705788521221508,1,0.727482547928078,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae",8.06909115460179,8.32719028707792,7.9694204938074,7.92076249868454,8.71957711354231,7.96540363120805,6.85321782692748,8.25045475511956,9.40992168348713,8.48897168513524,7.33611986943325,8.9870972554644,8.45939025954783,8.02490978446578,8.85783144112942,8.04640739308906,9.28113611531771,3.56328457795263,5.26262781790382,8.09359440876437,7.95958160063704,5.0445419803773,7.87329060542099,-0.523618147522452,1.68157701487062,-0.294065591693728,-9.96584239206652,2.65482139189235,0.328125039653653,0.133788441986076,1,0.247343540263916,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae",-2.1511629620962,-2.06231325264939,-2.21500017270666,-1.55881612283374,-2.83733090147065,-2.59962784601804,-3.26605698175149,-2.57509786576723,1.61612701498139,-3.17731174523816,-1.87046074910511,-2.15934517219242,-2.03691235229228,-2.32915037295396,-2.08677718153228,-2.33663897235301,-0.644106452487112,-2.80115480547099,-1.55067713157172,-2.19973996171366,-2.17924231106091,-2.56135549547919,-3.22842049510361,-0.235470171614642,4.30771281369038,-0.0509288629649651,-5.04510684639723,3.20346233698046,0.4703125060613,0.693171523810431,1,0.734405022705623,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704",-1.09291588444729,-0.934646019375659,-1.17998213351423,-1.24531957368779,-2.63908891011756,-2.85734300963674,-3.6977751897824,-3.14279365896494,2.68849765105178,1.58157521191803,0.377718045417845,0.226013339256955,-1.73695810612657,0.789723031002254,-1.67472629615349,-2.84753576003142,0.966903216179901,-2.82429228430054,-1.32568228865822,-2.0823674581446,-1.81183334395744,-3.41894053335564,0.0897279159876412,-0.361792269755897,4.38594688310124,-0.0711324269129935,-4.03079966346822,3.79843507590607,0.465625007026818,0.709313950044788,1,0.700276648660937,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336",-1.22627409918037,-0.919945523743138,-1.52518127502719,-1.14169059035924,0.535148575072991,0.929502751598649,-4.00587299243382,-2.54258873414741,-2.19947979545345,2.09178964078086,-2.08792914770487,-2.14737174016709,-1.41592787969681,0.848829006143854,-1.40440257263449,-2.96274077957754,-1.71388161458858,-2.47262928933522,-1.9957066565015,-2.03869092183323,1.01005475291889,-2.88196553536053,-2.53590803324323,-0.390515477756205,4.51670289532681,-0.0824757724035941,-4.17295076933452,4.05256398018379,0.455538230618297,0.682127295802811,1,0.664689424836,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823",-2.07257873439731,-1.96873849158276,-2.25894259777921,-1.40764968930337,-2.62744176721807,-2.21612385410293,-2.94892519198755,-3.24733600161464,-1.64247925406908,-0.469316194669084,-2.3785389029978,-2.16870106465691,-1.57186129603824,-3.14014410851628,-2.00046227705749,-1.80323816488877,-2.05045856531893,-2.9443400932831,-1.48492379215525,-1.72815294419414,-2.0338514068932,-2.52382792097541,-2.38177391443859,-0.140472850431919,4.12082436662507,-0.0366605459988698,-4.53224566354741,4.42707378176617,0.48281250350094,0.699109522229877,1,0.716771630555977,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__AC-14",-1.7263008323282,-1.50239366574096,-2.13275028806711,-1.46858098512027,-0.241110151132318,-2.50261795542354,-3.51338359761945,-2.43108720695704,-1.61321112880494,-0.516965272233735,-2.74627607973232,0.232031176725938,-2.12309394149368,-2.70390587397843,-2.51899734158703,-0.142493157254954,-1.15082441027597,-2.53633984576743,-1.79927721507709,-2.74241694246808,-2.26004947884582,-2.83139262071401,-2.45805733746603,-0.403312072947086,4.07940195509273,-0.0911835430168055,-4.72049552544209,3.48869582284818,0.466458665179807,0.640355965064353,1,0.636336235359068,0.993938119736301
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__RAAP-2",-2.06022486304057,-1.68592086361981,-2.45227884166045,-1.20837903056178,-2.94598665243065,-2.09351266559439,-3.76699891079661,-2.96644190948466,-1.69443562272019,-0.306436478142629,-1.5883017851392,0.438325784543174,-1.63552456001729,-2.80547086507076,-2.2035727091674,-2.12211499469614,-1.94335600426034,-2.9015336901219,-1.3944690907882,-2.06516429863216,-2.54610919668625,-2.90134308389933,-2.52893829581546,-0.745457888785362,4.20806474756002,-0.152599127751908,-4.44127561931216,3.4822769346186,0.42433698918426,0.591863878983319,1,0.611845234390223,0.993354579824201
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA8592",-0.248053902767271,-0.382038580579787,-0.0190564020103263,-1.00104270845947,-0.211024721650396,0.0783120483005852,-1.29943995692727,-3.15410281523404,0.447607335331998,0.55240027199911,-0.11183019643563,0.114010021879457,-2.1921947316947,0.580191271730872,1.19216826082914,0.675131270853761,0.720972489767037,-2.57430482785693,-1.98337786573104,0.141738349625449,0.112891695887896,-3.0636772481334,0.0900081544057905,0.279802763268092,2.92595607284462,0.0840416983032568,-5.17601059826411,4.24953530480725,0.446177858157851,0.720964359546468,0.999350066332445,0.623835119021845,0.998243798577583
"d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae",6.5497098031157,6.5501729225261,6.54918937384609,6.82967268338603,5.78631072082518,6.76052609922073,5.85234914767169,6.46102783476139,7.65098175882733,7.21090104961703,6.06801349384982,6.84193098962957,5.28407987721771,6.93713368889066,6.05493131003156,6.63466079156846,7.49271470192388,3.48325237113202,3.63770278260337,7.5481791139222,6.49023155761897,4.75628031713252,6.98116245765757,-0.07927585227098,1.51309238740968,-0.0534492364095792,-6.95459804698916,2.76647703010422,0.475819037677096,0.397332871642304,1,0.821211658890645,1
