"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae",15.7737314930235,16.3248745722189,15.5556592704978,15.7920200093696,15.3392231017617,16.9606390442944,16.4985629825854,10.3248799369931,17.4211333339834,16.9933581489423,16.137381293386,13.7960846770199,16.6549039663791,15.489262959636,15.5045657814231,19.0279823177871,14.0289155312891,16.9593951153637,10.7294837404379,18.4764532569472,15.3745607079952,15.5154565322248,15.7522529173291,-0.235885644544505,3.08185593740162,-0.0741324374245355,-5.48383584154827,6.96316570603075,0.458658354776321,0.926118007098175,1,0.766490668773951,1
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae",-1.01146374098656,-1.43135799894857,-0.483938764850802,-2.57318096236463,-2.48616509165652,-1.99216849562354,2.35626568876811,-2.45290306607672,-0.0145846809823365,-1.95982118743555,-0.377695825864995,-2.69524463780616,-2.33525449034167,-2.76390949577824,-2.63396108834951,-0.532777129510084,2.19148001622709,0.835843472939461,-2.07105107132435,-0.236361084847301,-2.08542869504064,-2.81968319040255,2.338046340932,0.883187706844664,4.25041334913907,0.188942332679455,-3.43841917323336,3.97589495599191,0.410296430654863,0.603592351659005,1,0.550723318863799,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae",7.73823985216325,7.86324171350393,7.53875900920386,6.64996914826307,8.83464994521862,7.40379044176202,7.91735867487631,6.88105265676212,8.08784170019929,6.58836201597942,8.04733083495302,7.84698055876743,8.29529039604427,7.65522419815774,8.80726090945791,8.31344624343397,7.39847464239045,6.37666888039588,8.27563661688648,8.49017848353394,6.56730913996771,7.31264099922257,6.62416186974133,-0.0655960844933263,1.24344890760657,-0.0611031923749287,-4.3953258787171,3.68495968113284,0.476562504778868,0.825330288554021,1,0.870300727716556,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomethylophilaceae",-2.32577242348311,-2.25775661730051,-2.39515351255944,-2.55098242860931,0.367847775296253,-2.32265904484516,-3.33530796130978,-2.24403087089587,-2.34324375870208,-2.20860478046761,-2.68095399666289,-2.41557226976408,-2.72726737968938,-2.37458928468823,-2.02491960612661,-2.55686574705366,-2.58766134735261,-2.45495516290478,-1.71281341347113,-2.79055919292355,-1.72096214004119,-2.14031680374942,-3.00417226295709,-0.154307792296631,4.17222353239791,-0.0255743113989906,-4.26900852167763,3.73335030578873,0.48281250350094,0.715170454339801,1,0.73218122821451,0.998213860442963
"d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae",-2.3852316976205,-2.18048576258326,-2.55661233974176,-2.69126837021015,-2.16904958627852,1.03192107650418,-2.76770690771534,-2.36850543382148,-2.61828554763464,-2.19510159143103,-2.56067721626933,-3.18256760931317,-2.5132506488778,-2.18071786088471,-2.55954117894049,-2.63790068845596,-3.50038222066559,-1.94588779346442,-2.4585177942764,-2.53348554299614,-2.42364233956773,-2.58325341599984,-3.32327251399018,-0.36997491801343,4.00851655887218,-0.0831876114705308,-5.41352488322792,3.60114041683022,0.452418106462437,0.619009907603717,1,0.632590585691398,1
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae",-2.40466805482593,-2.21338600396134,-2.57616777024434,-2.70535253099324,-2.50564874088842,-2.20628502740692,-3.04817636774902,-2.18515733385823,-2.0139062517409,-2.32117880340193,-0.520393598455135,-2.20646566256779,-2.73333329345829,-2.62473678700618,-2.29859454515642,-2.89634246614107,-2.74550088153137,-3.00271978008981,-2.33816855356649,-2.15795807714617,-1.60405509437793,-2.89633747803927,-3.21362183429536,-0.484005780857963,4.11345921055585,-0.0982706792102233,-4.22571487907421,3.36699486084485,0.4414976719363,0.686121565944889,1,0.684264482614908,1
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae",-2.26310084205367,-2.36489601809924,-2.17360368284666,-2.29346683238839,-1.57869328193688,-1.63747526236464,-2.86552321383027,-1.58018226756786,-2.53292872561347,-2.06646224866829,-2.849575066841,-2.52953253081256,-3.01640215660311,-2.59860571194243,-0.232099259135705,-2.34001216481457,-2.64561538081802,-2.83114639999731,-2.52493716485078,-2.6842498384376,-1.27796256407828,-2.46638110927819,-3.04902947233958,0.0610637108768977,4.2776199277161,0.0102080279768911,-4.08387431562036,3.78445002089318,0.494539782698815,0.711540866864768,1,0.708692985613458,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704",-2.18272195780342,-2.03429725580392,-2.27790312596266,-2.59367268392439,-2.48436449831269,-2.61309003172552,-2.4974847971385,-2.07656842081005,-2.2245649822651,-1.91233037856794,-3.33180346772191,-2.30800776114093,0.278592458808467,-2.63300501081547,0.713023809938198,-2.94651218645968,-3.79253633806831,-2.33473105130576,-2.02407383314758,-2.41709686554536,-2.22883947069594,-3.20272323869497,-3.11683752114771,-0.195340657056263,4.35903954092911,-0.0401508084396932,-4.26366025029194,3.7220464351301,0.480499223929895,0.665665574451523,1,0.695516654398233,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336",-1.06860314270197,0.0545382669193906,-2.23791905451783,1.17435263707025,-1.92181358612564,-1.90537634747959,0.447027008873198,-2.21279414835689,1.44632004459753,1.11991046615027,0.0994408749312914,-2.28245842326057,0.482634561851231,-0.354549793296179,-2.27136119364134,-2.70569888520635,-2.28624366938093,-2.88355533847438,-1.91725641977609,-2.41761838351634,-1.97120383300249,-3.03043646800507,-3.08912618049252,-2.30136625365817,3.74049323166432,-0.532111645386697,-5.96123727755819,2.59503421876814,0.254290237306813,0.202527130547422,0.974306058746922,0.133034076024595,0.943564967105263
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823",-1.78984862439945,-1.51841098077569,-2.15552826719386,-0.527920890507032,-1.59597104681089,-2.43109311863654,-2.80942762573799,-2.39499487269057,0.130318498716438,-2.41359503676841,-0.682125345719447,-2.90826229958581,-2.46783915535416,-2.12749142517885,0.754213326771101,-2.9035993410073,-2.49202695284068,-1.9725601698169,-1.63946364643015,-2.76196581095811,-2.82556217697875,-2.6514358631508,-3.05876199839093,-0.452363274945853,4.14629686704404,-0.0891755076233602,-4.33398345921117,2.64741638157341,0.446875010931708,0.640594186084838,1,0.680256831983806,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA8438",-2.15728846712354,-1.8095595829381,-2.56712191762214,0.0395010019571753,-1.81069699256515,-2.66274834868827,-3.14204002027025,-2.12306792425751,-2.45835622875945,-1.91090657055211,-0.544707518100664,-2.28828578114568,-2.70852900708541,-2.78940049367128,-2.71344657742793,-2.36523919055917,-2.65903976242393,-2.42068132773083,-1.79502926574744,-2.6039939469262,-2.46280267474038,-2.50913054096504,-2.95019260746113,-0.694135216014702,4.21662510405116,-0.151200357246943,-4.45336493831039,3.39257707729262,0.420312516634983,0.626235355242168,0.999707375430419,0.602477219954968,0.992912188914027
