"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH- VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae",14.8155955205479,12.9863049868685,16.5208288036537,15.9658255219975,15.4843935486531,17.1258113217344,16.674852103376,10.4936898216778,17.5470992546705,17.1704467703641,16.3064988387736,13.9628186815359,16.829476296603,4.40761570368278,10.4787420946164,16.8465710027951,14.6288015927216,8.9641204930388,13.7657243158696,15.0354284075951,12.8291238699412,13.1592895079113,8.65922243092165,3.3037566530669,4.35775394224529,0.784998535398975,-1.15555754746928,14.4157569744021,0.137500155468609,0.0125883321747128,0.890410449299614,0.00539571448288554,0.680231785058694
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae",-1.50865588159837,-1.77711279320393,-1.21908542494261,-2.43362220953791,-2.18371943848477,-2.30636762440476,2.64594760363316,-1.61182029634197,0.331122223912182,-1.89231758631886,-0.377233255195099,-3.04384520522675,-2.4806187559458,-1.05657210379128,-3.23329609664966,-1.87551012792625,6.4294909884019,-2.35259927880327,-2.29857939993111,-2.60622691264591,-2.23957757418774,-2.22277810966822,-1.6362391976721,0.561679375785912,5.28510039957967,0.101515106478924,-3.81768322618495,3.95880947112942,0.453125009621297,0.775946360617254,1,0.672150024897703,0.999483271179285
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae",8.181386547632,8.42782812085489,8.03674310151409,6.82633026582397,8.97867025067502,7.5512503190369,8.10249904610475,7.0393028641787,8.21306738751343,6.75137868650376,8.2147118264454,8.03082242923977,8.467446813347,7.98447096560226,8.82070595601697,8.06254967817495,7.01041447513748,8.36990165270979,9.49574657641192,8.56937174143512,7.4381363843354,9.07877168290034,8.54893839512251,-0.506526019845887,1.14871804179066,-0.445438699782538,-5.33564725881415,2.02727723876864,0.303125047403692,0.152204571484699,1,0.135997697639048,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomethylophilaceae",-2.1528681134257,-2.23382086416263,-2.07323697906493,-2.72372300506806,0.690428999933534,-1.79141924259476,-2.5333204714957,-1.80669825204238,-2.22487470237767,-2.09982538373761,-2.78064969054386,-2.44082644209783,-2.65754165990521,-0.456087915032017,-2.54976295534814,-2.33226105662303,-3.38686433761863,-2.98126852438654,-1.71193467518685,-2.41451703196494,-2.34001922050996,-1.83069048009389,-1.65002629589612,0.146364328671485,4.17117273589577,0.0299069463079757,-4.42329568180245,3.57004360565106,0.490625001908018,0.727282415550197,1,0.746804822982745,0.999928678455188
"d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae",-2.20292184593587,-2.51613067246612,-1.92378926725833,-2.18247794161001,-1.77345479967348,1.27932341233659,-2.65936963891741,-1.89341939029424,-2.07220113839946,-2.11170824405835,-2.36522159856798,-2.52251883590429,-3.08914993372631,-1.23365794549067,-3.0780368671566,-2.42299538309705,-3.72149202237184,-3.18717819571034,-1.70946030383078,-2.27323358839515,-2.60057556198744,-2.45317947212513,-1.65249310594416,0.440109186207909,4.5031011054204,0.0835782202678543,-3.12643693689904,3.86886865661618,0.443057734009453,0.629152216832111,1,0.642136537514343,0.997909869977159
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae",-2.10534505724957,-2.21317655320925,-2.00011035317779,-2.6368821599092,-1.82965903865068,-2.01063626372176,-3.13775102999182,-1.95129164041466,-1.83758695088113,-1.87345046583989,-0.410925280082925,-2.6477482572579,-2.76628902193582,-0.817351857399364,-2.40364372493938,-2.17613347776791,-3.36577710025397,-2.88808409348317,-1.52227111417672,-2.55792232333443,-2.23438483732813,-1.73341520930009,-1.5921628050281,0.112409181018116,3.93857933624327,0.0253056196977545,-3.88704509010776,3.92669121480051,0.488299534355622,0.733600849120738,0.999672027102403,0.740001255033666,0.991887928087135
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae",-2.22508498393467,-2.13416948049659,-2.31307026290513,-2.56962421596928,-2.71726578907307,-2.26840243056272,-2.2117475421449,-2.78734147758037,-2.01682524603905,-1.85593163593576,-2.53589401329368,-2.17726104550397,-2.89562474174017,-1.16694677930631,-2.61415530529861,-2.41019013588691,-3.85732024889997,-2.74554702051126,1.29750964602687,-2.32989341833,-2.3875208696014,-2.25045201230353,-1.92407703546205,-0.337785657224089,4.29144722243765,-0.0834140849742505,-4.46952550686357,3.50243643886902,0.4703125060613,0.684098051288672,1,0.655877887592284,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704",-1.38963217765748,-0.719806507293807,-1.95722718474475,-2.41554780384065,-1.47701376611199,-2.37581898132022,-2.54934968496529,-1.76606695081541,-2.45670505188121,-1.94126607289012,-3.13457681496984,-2.66832262141198,0.468870322726804,-1.40507605949578,-2.15563192371819,-2.1732371431483,-3.75944318667019,-2.78494780782734,2.67109107536313,1.61991878758358,0.226742981845465,0.322966487328745,-1.52706732975223,-1.28109279591461,4.25187996427363,-0.255643993990891,-5.11393445518964,2.91902937816463,0.372854941766389,0.422311744610806,0.998594012564681,0.380849691620299,0.990939156504293
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336",-0.212304138257487,-0.942492616427449,0.313893591973194,1.62298303135204,-2.35258992282538,-2.20079988186054,0.914826748034717,-1.44823805896809,1.50314727970112,1.25321675086443,0.44661261666676,-2.59097750274558,0.564230631446176,-1.7079075975107,0.754095473212672,0.924087792923125,-3.28251073565514,-2.37902948051878,-2.15338872836827,2.16349317911003,-1.90000568487421,-1.58460925554424,-2.04812543034151,0.938421553094447,4.05324501158896,0.195555517056736,-3.24570707339808,6.73674754735288,0.384375024852996,0.471968526721299,0.999448888978764,0.481843028778497,0.996146347359685
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823",-1.79446757281113,-2.08973508069466,-1.43040598375633,0.0633345439014992,-2.33865800020624,-1.85802038411923,-2.8887193035609,-2.17754379918465,0.246480293830553,-2.12518554688288,-0.329918761434332,-2.46632528540463,-2.86900942254083,-1.09628739804811,-2.98618249009496,-2.53680125827305,-3.32967780779145,-2.06196525495321,-1.9681531873842,-0.083080441502748,-2.26969025946627,-1.94044648845766,-2.16906508053049,0.508059471265113,4.0536876121197,0.111159646893044,-4.07330845724661,4.81775293508368,0.43281251392068,0.634694279747267,0.995142757881506,0.638155526748793,0.988963416614345
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA8438",-1.90509578391072,-2.27731611460057,-1.56203514106871,0.0236277236564604,-1.44980617405287,-1.73601705679086,-2.96219070253781,-2.24487505266781,-1.89436869408494,-2.12652566549205,-0.166310077786294,-2.34792921905334,-2.19060289923801,-1.19352579445833,-2.72409756160237,-1.67543495515192,-3.24518307016324,-2.80928946421346,-1.08398772010298,-2.8248005216334,-2.20781662730932,-2.43940920767633,-2.02056334954842,0.53785095439274,4.08959832792544,0.0937247662814084,-3.44449049121052,4.725576175498,0.455538230618297,0.634976229035158,0.997371736961151,0.617364676248674,0.992519218784385
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__AC-14",-1.67746780763474,-1.25772141137434,-1.97573177137239,-2.05522753018027,-1.68159545983764,-1.95401166941328,-2.68178530551456,-2.30975464744433,-2.15380030394944,-1.9439426743204,-0.390600845091772,-2.15998359218306,-2.6717206339235,-0.895201552844865,-0.231409941160852,-1.89994131307176,-3.68856573999046,-3.0807342973388,-1.99447295994672,-0.0949155878750148,-2.30970060200993,0.338366793060192,-1.68242799337376,-0.703468286163833,4.14560315649063,-0.124792160489673,-4.18639549642723,3.43670310493017,0.435937513251067,0.642725053784087,0.995549471092103,0.577945032908268,0.993573217006484
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__CAIXPF01",-2.21602549710747,-2.22535770010823,-2.17982996600365,-2.44361212530236,-2.69813948875402,-2.24815481809111,-2.6711178286565,-2.46298952627309,-1.94156357149967,-2.55466198340046,-0.390786350636676,-2.30757789352642,-2.87537332635532,-0.998948070654656,-2.27689246960198,-2.10559372997608,-3.3350612980232,-2.65708968133726,-1.90499806943028,-2.91909905592263,-2.14526204804538,-1.99644997821336,-1.58455809765734,-0.0187231045852663,4.16253690028591,-0.00546466554855992,-3.89337173775317,4.16016588026686,0.498437500317894,0.730398309322819,0.998069815495866,0.756923912484574,0.994647205300504
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__RAAP-2",-1.85366984345769,-1.69648916134382,-2.01778072155517,-2.20812869030086,-2.08051773390491,-1.80983659927662,-2.296670984313,-1.90554669177302,-2.80947571466045,-2.08119986290454,-0.249013536676308,-2.7179966961022,-2.61355619036299,-1.30601255070905,-2.80962501377509,-2.19756299474908,-3.61480506403946,-3.32295973655015,-1.98184187652243,-0.180073281220606,-2.01878185986419,0.154516591608514,-1.62518718997466,-0.140354171951838,4.24366080151115,-0.0309952907341301,-4.0607173292149,3.91304963019582,0.479687504139417,0.696894464149989,1,0.675625216501765,0.99756412257924
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA8592",-0.462796458140792,-0.324304032749835,-0.603270029884227,-2.80096662449588,0.541995146224753,0.0479776401727534,-2.48686850398991,-2.35799270409319,0.164831535119212,-1.97900024985014,0.394477542442944,-0.119113888265625,-0.360985011324432,-1.45696267520903,-0.291584153802233,0.048103854316528,-1.24177917643554,-2.56021123107802,0.71211952758695,0.779752015773155,0.19381633464908,0.156487715038445,-1.61200164933146,-0.245876831318913,3.06923566789143,-0.0701493551027852,-4.49844181194177,4.53674357631709,0.468018727261793,0.666102450252068,1,0.674930381151356,0.997580345834506
