"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Halobiforma",13.6378643691508,11.6765502164654,14.5569129602058,3.03522044825943,9.28321660475349,15.574102145837,13.4837105570021,7.86670009895635,12.3758265245262,13.7606517760928,11.5542962999022,11.8362551477754,7.27826859418945,14.5410039298363,14.4654375099311,18.0318592909589,12.86733570218,15.7538303124965,9.43221601315185,17.4304979811143,14.4430222474591,14.551991669608,14.9064634534323,3.30855366957156,4.39870700664646,0.739728475237563,-1.12310875684917,11.9943044975355,0.15156263781934,0.0114816960548099,0.783724699757512,0.00410110158804048,0.403376561699991
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Natronorubrum",13.6272501695096,11.6684872162869,14.5446611262633,3.07590982261379,9.29234965786048,15.5667556766821,13.4769371158882,7.83455867511879,12.3689237482169,13.7465884458813,11.5395318126435,11.8308699645777,7.24063366623341,14.5369468490326,14.4560145843073,18.0258532977942,12.8527923301121,15.7474451141386,9.4230189419516,17.4198590045374,14.434886980235,14.5366085765186,14.8983593263092,3.34944097130548,4.39567196868604,0.815999407543286,-1.35812649491601,19.3469393030103,0.143525888065967,0.0113998860023565,0.783079936601492,0.00411133467925267,0.402938045845617
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina",-1.33987441435003,-2.02999278357832,-0.531335450813868,-1.79363531669254,-2.81768210028978,-2.31109047732614,6.27476841459419,-3.07579071828823,-2.09899038103619,-2.45097209562556,-2.6494558142729,-2.45586576248758,-2.34926643519731,-2.76276252435614,-2.42450858781655,-0.401031389423311,2.0709210898491,0.708528249359963,-2.29601794287871,-0.10747942317526,-2.01832288270746,-2.39356083513642,2.60363443903668,1.49269375196312,4.87553553303386,0.255410948924831,-3.37042575747042,5.01158038062577,0.371294879749891,0.566685904125646,1,0.399912418270584,0.969266085909599
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__DTU008",7.8813682839005,8.18572828773839,7.50474579028804,7.50331785514818,8.62868166247541,7.77753181799927,6.85541724119445,8.25272438330954,9.09571662513012,8.28436067440774,7.16492930211165,8.7378752605077,8.14187687428948,7.6746422268136,8.74805732566777,8.32155875381532,7.22716937419638,6.16232239106679,7.97899988605335,8.43959849419796,6.64623878694105,7.34319323419741,6.77658821487416,-0.496695253787928,1.17432975910774,-0.399727780550274,-5.6817854678027,1.89324687319856,0.328125039653653,0.169279575509613,1,0.210712794848341,1
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__Holophaga",-2.40491800537476,-2.4695146904345,-2.35760264827565,-1.43409944816839,-2.89076287651033,-1.83459532090482,-3.82875231499069,-2.75240516917163,-2.14193850581643,-3.50110884947102,-2.56924011687153,-2.21905470987473,-2.24544271229235,-3.17346630681864,-0.375166023990445,-2.50059655609869,-3.34849980399283,-2.38102901647643,-2.08560572975181,-2.62852681487031,-1.99120370944049,-2.97244356002923,-2.93537914239923,0.305347138510475,4.18126162883448,0.0523989267989822,-3.99158947080871,3.97298765669417,0.468018727261793,0.733175541770145,0.997771373400981,0.69890236988244,0.992700874531751
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__JAAYVZ01",-2.44042407544991,-2.19623587934573,-2.6463487122368,-1.63609320161616,-2.67157355338659,-2.73277791121595,-3.43577910103359,-3.46220662823806,1.03040719890791,-2.71487268878198,-2.24013371613098,-2.3346769303123,-1.5889484752524,-2.78151632917614,-2.69318111982806,-2.59207624465442,-2.95078163757402,-2.28094610189484,-2.74191553052711,-2.60994127613055,-2.01877041647192,-2.5897989616864,-2.86674382223461,-0.455543274585814,4.46648835424767,-0.0857810367867484,-4.45888975875217,3.61202571812056,0.442187511921351,0.661829122662841,1,0.654835380853667,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__SZUA-115",-1.72670766690119,-1.04078862557563,-2.34379492071011,-1.26931789788365,-3.29510234207068,-2.04738580963204,-3.96693931573768,-3.35229964662454,2.28557501746183,1.259305810245,-0.125970590882279,-0.0575931132004364,-2.19438790157343,-2.8528508316991,0.613717849466003,-2.871886324008,-2.89332195934009,-2.68741306525534,-2.00172151298556,-2.70696804870309,-2.40902493883254,-2.7960948976048,-3.26553722157359,-1.3356588474266,4.47824008018514,-0.263877585539409,-4.44849925171141,2.79567853059946,0.371294879749891,0.491803274558241,1,0.448036109111477,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01",-1.84771373464782,-1.17806629126077,-2.40031069452526,-1.67381501161959,0.534907085422148,0.667498195903459,-2.88899727186878,-2.63527554363661,-2.43964222449104,1.93206002411587,-2.65197973225576,-2.13952700871787,-2.93856927298228,-0.210151249627048,-3.24379762892902,-2.7370485628949,-2.71543428103201,-2.15188409745648,-2.51077303533414,-2.50612870958172,-1.6672176103154,-2.85399227690089,-3.27723345787645,-1.21734263756941,4.20843916477708,-0.251381410782454,-5.29149248031222,2.58390848525498,0.36406252986395,0.486183024252866,1,0.457729975616489,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823; g__UBA11600",-2.17389264454003,-2.19830395428244,-2.14777649153314,-1.52020523294562,-2.8402484164569,-2.62819964833062,-4.12160743191932,-2.62956593816996,-2.11079452201921,-0.473311409405776,-2.27347808139722,-2.41924592379747,-1.96698289581543,-2.69146653938805,0.601039668810284,-2.87456271514922,-3.14065051420565,-2.09443961733114,-2.60228798793714,-2.08476547237045,-2.02606177123547,-2.16719732880906,-2.88158372365681,0.0229586443639178,4.21517629541587,0.00743863489629628,-3.61576062652728,3.79643178199826,0.499219968956955,0.751060698847123,0.998365870001741,0.741886004378748,0.98922822877101
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__AC-14; g__AC-14",-1.72160546987888,-1.61693079222831,-1.85118654867502,-1.90968128276177,-0.369837953500319,-2.79978023602254,-3.55748121114778,-2.84781670436938,-2.3756569384602,-0.459811396648822,-2.04912187159576,-0.112283348588285,-2.01764846072365,-2.53608504085668,0.697815227455393,-0.182509930165361,-3.01362969112793,-2.17126955860545,-2.72956821188621,-1.93815027308935,-2.13617485080618,-2.79535087170361,-3.07433272914401,-0.00676036083109111,4.00815632223405,-0.00111332283140843,-3.68949893757171,4.35225782672389,0.499219968956955,0.719849501350618,1,0.736725650993743,0.988507625217517
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__RAAP-2; g__Bog-756",-2.15384838217113,-1.99621760018865,-2.33398813548325,-1.58677036338528,-2.59129880270502,-2.53709879272365,-4.03236285436756,-2.93612075885288,-2.56715523942155,-0.532629197640389,-3.03491928641898,-0.140521711795088,-2.0336642682543,-2.36920480575269,-3.1244507692641,-2.78423376308615,-3.48678762646188,0.607123647578776,-2.04755376965092,-2.5780086508643,-2.13296644213122,-2.42680625769004,-3.1666703019439,-0.263051071932319,4.24691243485531,-0.0501983956821724,-4.79654341897348,3.81367922213038,0.472698913509976,0.6938187249676,1,0.728309990609236,1
