"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ LETROZOLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Halobiforma",14.6230022391451,15.1080515860746,13.6378792300518,14.4151502216293,13.9403586625933,15.5702174020206,15.3516576175527,9.01780230880064,15.9624725912449,15.6179612724633,14.8182960870032,12.5698640397195,15.3399609022491,14.8877436390488,9.65451276453673,13.2628795407658,9.41634175148268,14.8711105178095,11.412285566022,11.9511815021249,13.9712519652149,16.9217632548469,15.2655243440741,-0.810521688522972,3.24865774587323,-0.31096948294222,-8.37707253514349,4.14881002945982,0.340093639870762,0.300465899855408,1,0.231377211700838,1
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Natronorubrum",14.6205815036464,15.1111570639664,13.6511013383235,14.4103272595505,13.9254703114278,15.5593903556134,15.34199455914,9.00883940471702,15.9515016951931,15.6102796037222,14.8132434779158,12.5595510052513,15.3321038048461,14.879876488058,9.63800503758278,13.249606007032,9.41194504943549,14.866446904093,11.3911928605252,11.9442595326251,13.9679565023717,16.9132862600896,15.263464957559,-0.842327591529602,3.10908327163659,-0.301144184839783,-10.6005908844174,3.61972933867135,0.32917320615172,0.300324984440238,1,0.233302639697764,1
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina",-1.89411212085984,-1.80446321249415,-1.98713929579207,-2.60280222946167,-2.48245553236575,-2.88262205717973,2.25043024015742,-2.86257539610432,-0.643205996928176,-2.29426121771689,-0.751936065290273,-3.17014007451366,-3.08610978782712,-2.13189530700208,-0.245494132776713,-2.58188720170566,-1.60247989200574,-0.462237014918417,-1.54704869325765,-2.79656615069334,-2.56154036969511,-2.47943832553865,-2.71241635062784,-0.239931376842444,4.165968972111,-0.0441393758032391,-4.26639334592788,4.04720253581614,0.474258975593382,0.707309980077857,1,0.748392812682673,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__DTU008",7.54510748793549,7.59964375043873,7.50907743246264,6.26031652830079,8.44240822734059,6.99782401202538,7.79382010713107,6.53561018356942,7.63863403495802,6.16654788626474,7.71815698017687,7.58667269080622,7.99856657490188,7.65836722255955,8.3662530553112,7.67274788145656,8.65126005504006,3.42304710858959,5.03631884253901,7.45415426545812,7.45667857140335,5.05978918966787,7.51932620049844,-0.146806462565699,1.59322964739793,-0.0739457492318887,-9.61001750778641,3.76484550886841,0.439937609863873,0.428946850539892,1,0.693151288050185,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomethylophilaceae; g__Methanomethylophilus",-2.62476151392038,-2.62476151392038,-2.62027452894676,-3.22131757842217,-0.123345628777752,-3.34535378543725,-2.57927669566588,-2.64082157816558,-2.94315870663463,-2.46675164034752,-3.18306050512227,-3.38985745940398,-3.46999199452541,-2.70224935929954,-2.40994680314781,-3.1763733753935,-2.11336477430981,-2.80140947156072,-1.59919042979547,-2.78471634286442,-2.17198749966865,-2.99355214188732,-3.42856885257199,-0.13242964887648,4.26824518669599,-0.0225986161771957,-4.0155563631668,4.12773267477535,0.48750000254472,0.760471937910528,1,0.744640059050856,1
"d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrosocosmicus",-2.58487403660852,-2.6253517938378,-2.55376660124256,-2.97379043147188,-3.31246430989843,0.701221234661558,-2.81948869069683,-2.15807847036166,-2.75166953732938,-3.00620860737755,-3.83625300658156,-2.83386855684906,-3.37181661597655,-2.98267737541455,-2.27919463143866,-2.45038651637041,-1.85983928536289,-2.0790637576523,-2.14799836183181,-2.90408809099896,-3.04873474032813,-3.21882663387072,-3.02572655178324,-0.151442782251287,4.3786943146284,-0.0376783980639826,-3.52515615267839,3.48790519854052,0.480499223929895,0.708886811503558,1,0.744769029828531,1
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae; g__Acidobacterium",-2.39743364651331,-2.28192238894091,-2.51810875890808,-2.73805246882947,-3.11579520800638,-2.56716182620816,-2.30382819215609,-2.21875898517874,-2.5151739960851,-2.35632753132944,-0.988494953994381,-3.02035189698516,-2.40078847806031,-3.0259033279098,-2.04691114322679,-2.75216120488763,-1.31900507014199,-3.16867114326413,-1.82001735477348,-2.83157802817205,-2.90522589040808,-2.91439474627283,-2.55676672575887,-0.115241861992066,4.19368339399353,-0.0210919543975211,-3.62108503497587,3.93290266208928,0.490625001908018,0.751868942169786,1,0.759654118134188,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__SZUA-115",-2.105400981876,-2.48716372129928,-1.7358962201532,-3.16494155891138,-2.46078466388399,-2.73525047362175,-2.93585086443558,-2.6821600406008,-2.7854538162278,-2.20714022837232,-3.46878545990849,-2.89322198387263,0.117839307428529,0.549729628170827,-2.49138804426564,-3.12080547519544,0.34724877731016,-2.89989562029233,-2.15371192513807,-3.09953379852342,-3.65906886358813,-2.52541556690864,-0.326692440569655,0.533686049859813,4.28147021309185,0.110881073738762,-4.13609112147155,4.73964476825071,0.442187511921351,0.608577658587131,1,0.570064284109853,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01",-0.959391886589453,-0.179457559596891,-1.71897886140327,0.85755218455637,-2.60602463517117,-2.43978737882688,0.324670255462914,-2.99384290697223,1.06046505208957,0.531604666276255,0.175116211122214,-2.56232599028373,0.133713884203319,0.294523575393143,-2.90401271753422,-3.00898848595116,-1.54171305051943,-2.7060233071122,-1.6922436208737,-2.89416246828387,0.534037374885397,-2.50895950599213,-2.73952963383251,-1.27751714051689,3.71943969803923,-0.296605048084774,-5.55436535016208,3.0999934363503,0.343213763815575,0.364404027607452,0.99227021711989,0.318233575634891,0.992308098248501
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823; g__UBA11600",-2.28175557865083,-1.94337697500024,-2.70610700423719,-0.621155243389655,-2.15385920883025,-2.50503873368232,-2.72171869104532,-2.65653031152828,-0.343999027637386,-2.99652504492493,-0.792849532912749,-2.54357698412594,-2.94879720734533,-3.03568292039011,-2.28222491270638,-3.80177695726504,-1.71321360355892,-3.35394253414816,-2.27108869887985,-2.8585481694839,-2.5199009262688,-2.78187581876192,-2.93573379207073,-0.760749462850269,4.13920869940118,-0.143588554958429,-6.17837852125091,3.26423250867394,0.420312516634983,0.555913551067301,1,0.575370184188876,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA8438; g__UBA8438",-2.40837250552694,-2.24437458663526,-2.53948081315264,-0.386226588377323,-2.0968621312994,-2.55011554477369,-2.63339955881564,-2.93857808428188,-2.83994162890112,-2.16580530586129,-0.965245440753717,-3.21221406651881,-3.69174716385081,-2.90033333268324,-2.37457006728423,-2.40640225833277,-1.96505532866767,-2.55519580283762,-1.57882840377531,-2.44148153914251,-3.0098216011176,-2.76478030170876,-2.89187684658632,-0.467809205600668,4.20452995145846,-0.0858722636969039,-3.83556522524106,4.05049855997032,0.454687509295184,0.704124783915873,1,0.703644773376778,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__AC-14; g__AC-14",-2.42049724340623,-2.54032674450705,-2.27642867310585,-3.02885808994822,-2.7323377475767,-2.66011098519661,-2.4456894388323,-2.68736066597,-3.02101320003941,-2.70849888555914,-0.71690918109004,-2.65721856106983,-3.50325385406126,-3.05991450551334,-2.42591766178112,-0.490273960662439,-2.40134051891293,-2.70295785195831,-1.30594290472634,-2.83065222327174,-1.90560149441273,-3.5519515249031,-2.6905413444389,0.216692469561231,4.13175021302315,0.0452298306785794,-4.64106747637462,3.73714303788341,0.475000005099006,0.717747430492656,1,0.680349521801728,1
