"","rab.all","rab.win.BSH+ LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00003",5.19317671389237,5.30267043557353,4.87104381769746,5.88821927702003,6.35875576146209,5.94640610941624,1.94506380694447,4.78145075823968,5.95389226057672,4.84776055887338,4.8662411438712,3.36020299785832,1.84674335326123,5.08877951684687,5.35259732880323,5.24311652017165,6.32037972465623,3.42025229438741,5.08281799653984,6.12260036848925,6.20548973929481,4.14047078404962,5.52493665176757,-0.371217843603196,1.67911111482168,-0.197116279392725,-6.91454303283139,3.15499007312123,0.369734817735309,0.281312544011214,1,0.328900346944078,1
"K00005",-0.861635319930262,-1.45008673889793,-0.283416149592521,-1.91838058114168,-0.743304900606775,-1.0524810078898,0.867121369106618,0.364951180373469,1.88470487923582,-0.233352230156402,-4.28446842255673,-1.15813636556577,0.265074918042143,-4.14325238999924,-1.29366695210724,-4.58579713924342,-1.93983359206588,-0.196423167152856,-4.8413759134933,-1.4688098174134,0.201929769957328,-1.3194471654804,-0.666612310845871,1.2762273622781,2.77163555373324,0.345382024888907,-2.55730451782143,7.17082918819981,0.287051534818547,0.215439917182781,1,0.151910408187014,1
"K00008",1.7943394318241,2.34620774149199,1.3364904018042,-0.0135576626071376,2.30711680699932,2.9592436514968,1.22820248856768,1.59069858298442,1.31748722275249,1.27639712974283,0.994159442441534,1.83692458394192,0.722627744797309,2.12274718248543,2.89399129199377,4.42460360748737,1.501196065137,0.484051494212414,-4.40165179367204,2.35279874127904,2.50792854220588,2.35799937219591,3.92461119730306,-0.960166186344024,1.81161170116062,-0.364777055880942,-5.49018534858464,6.11332470192095,0.303125047403692,0.629200970969358,1,0.140710162998766,1
"K00009",0.779997192829779,1.08843067390128,0.646618453357558,1.45855049316679,2.7021842945119,2.3814931905284,0.545876907119453,0.389153680150875,0.022854433289881,0.721480699696849,0.695524713893143,0.154337173035511,0.0980792495137859,1.32775697423487,2.14784492460801,2.42080296312559,0.88078741842785,-1.13370402006941,-0.536108661661059,0.425704844561022,1.53232145132148,-0.737174859911729,2.70038126202333,-0.0555891897892735,1.87360540037991,-0.0291702079384022,-2.85871270093944,3.23907030996392,0.485179410184784,0.890169882375235,1,0.817419664314014,1
"K00010",0.4601226053617,0.683261025649358,-0.0824750291765319,1.42411297244372,1.42030821411104,1.13169598887905,-1.2339305185673,-1.40085070423616,-5.01793044021218,0.51607154984204,-1.64618630730192,-1.4990155865341,0.697628706341654,1.41859523804295,0.744729485085935,0.0147829529116805,-0.121825385260703,-2.34967968037952,-1.90435124390083,1.12108717560214,0.71081531272446,1.13871732618837,3.87281536787207,-0.709578022520997,2.78723782777291,-0.246605595797077,-6.89178659465629,2.98399632439077,0.38065525187642,0.320269694009601,1,0.414768075867631,1
"K00012",3.56497894968845,4.02034190859758,3.26252977027278,3.59920195086907,3.41391267999039,3.40290495152965,1.96988672656752,2.94139030123234,2.78121565461199,2.70915164355509,5.09680068378469,5.07639079729359,3.23123423842716,3.99557840158524,2.52825340629589,5.02739762203999,2.06709790462879,4.01185000232296,4.69910522095787,3.41883829153288,3.83250659402651,5.09577740985474,4.59762664982331,-0.675782404163153,1.5034149305356,-0.40896868528226,-6.59116355501716,2.90900138413179,0.346333887770854,0.284308272347783,1,0.226373906666089,1
"K00013",5.28381079778551,5.37182821132151,5.03750639458028,5.81695087108145,5.94641640876629,5.56343171954062,2.3292460611381,4.81207561488211,5.73087851385598,4.86868288097054,5.29021193870013,4.7094311257449,2.88782618961816,4.11524621067309,3.2834096609047,5.24899292476177,5.67122208537418,4.25657968430897,5.17720341144757,5.78005208629911,5.8568433216842,5.46687455005825,5.81295560191688,-0.158732973189744,1.41759541308985,-0.0892763747209655,-7.13101199442553,5.29292478789112,0.4492979823089,0.584798882362558,1,0.693013691030332,1
"K00014",5.36372554311252,5.29259968933115,5.39101375324915,5.44916290302661,5.47546940469783,5.72789996086095,3.25076025479989,4.64487325358049,5.41115373745224,4.48842357063577,5.76800206340481,5.47844935153211,3.84894335581543,4.32617955293808,3.96774359673959,5.19228796208121,6.09763770246847,5.73000413274884,4.83227951092903,5.04796078104329,5.3945919266734,6.15683367319002,5.69579369916773,-0.257827590701316,1.12835589370256,-0.208276649700223,-5.48921423954436,3.43370154905704,0.414062518016231,0.428112703582844,1,0.501683724073914,1
"K00016",4.35373107293886,4.50364644397865,4.16645053106025,3.94930452738689,4.37096746934755,4.38598253101691,1.26350456245735,4.87289925622256,4.69825015750515,3.96705676872282,2.40764850963789,5.32499579930969,3.33363133079029,6.63556335510362,4.66883650077796,4.92928252863012,5.04860925057907,2.09533308520123,2.81695142391196,5.40324510236515,4.28662016274963,3.13385005246838,4.35484669859616,-0.380633366246814,1.93057957043722,-0.184750309227782,-6.45153061842191,2.57985251308126,0.398437521552161,0.422369834937458,1,0.387948581507502,1
"K00018",4.62822941540176,4.73217990263057,4.61796182220576,5.59204857529984,5.26215457271714,5.23476720213228,1.64406435185109,4.53463509174978,5.44236465587673,4.6675789870475,3.96879359637699,4.4731599427341,2.37124112379338,4.28446929596396,2.99545684351175,5.03536841084309,5.40058353327927,3.40240202224711,3.76055488080647,5.30584061642295,5.7182688681246,4.48665777885236,5.31386021075984,-0.0829219878209795,1.60139058166786,-0.0457145433580894,-5.46602668081393,3.6475890547847,0.474258975593382,0.625518776004654,1,0.801218904934075,1
