"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ LETROZOLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00003",5.56191886670765,5.76279467387871,5.44266408702391,5.24023741645593,5.9051285357351,6.38659493322609,1.78252507188723,4.84401490655968,5.91298643398505,5.91449770008656,6.09066844869343,5.6369614240186,4.78042535667794,5.19386862103866,5.47989488746878,5.39170727330846,6.45178469432934,3.60930736779482,5.20953420863452,6.26096657032414,6.36961406836863,4.2736681466375,5.670580079412,0.0447714433857378,1.21202073366376,0.0269893952302591,-4.10370228822495,6.74705796981121,0.485937502863285,0.783382066187493,1,0.954887544247548,1
"K00004",-4.87124708845689,-4.95342063661212,-4.77009477369485,-4.45576694446703,-5.46498225178962,-4.3192473601663,-9.93545947118874,-4.51628110565704,-2.191175684253,-4.82679243730524,-5.17236935175868,-5.0533313258452,-4.84766740085487,-4.06469087089435,-4.20472476744313,-5.21780004296603,-4.23223042832145,-6.51860517219981,-3.97672818307667,-4.11539580661206,-5.41608696745334,-5.21198689509606,-5.25162187838494,-0.0166931179339542,4.59132618413789,-0.00712757679503864,-3.90591506142201,4.07783591941199,0.498437500317894,0.713763754546431,1,0.71134454023144,1
"K00005",-1.15453338599891,-1.08077088439207,-1.25508600573597,-0.690451828317169,-0.665830521969006,-1.31219973649144,3.08680661678725,-4.94852036430415,-4.06101719057924,-1.15247980591095,-1.77290025856685,-0.162368904422321,-1.00731524884827,-4.61899752166326,-1.18425664316447,-5.01206293046253,-1.88172344491967,-0.0204752580127039,-4.12387258781416,-1.46543274826623,0.389980484780546,-1.01276940531945,-0.50742284931248,-0.234282596896445,3.56189214157292,-0.0520109470441349,-5.30959107939916,3.16103540467065,0.46177847893635,0.581566320405658,1,0.72473043838901,1
"K00008",2.29804526579205,1.98037348350341,2.47690568445613,-0.269589254918513,2.34313169451664,3.13871684120222,0.548466737194966,-4.63789139819775,2.90614095498417,1.72065680230173,1.29760197673429,2.2739211445684,3.6593081106892,2.26464587586866,3.11918127910307,4.56080329221845,1.54820524572852,0.650721538151274,-4.00544078468088,2.53869121259798,2.6194780109582,2.44398294791918,4.12882720300099,0.633525288916246,2.59952234291047,0.17312077845746,-3.65132298395344,7.05166228667383,0.385937524480017,0.59001970603179,1,0.392804141002187,1
"K00009",1.59511970647798,1.969319010717,1.21548437050479,-3.85684684198106,1.14825808639242,1.83756883329542,2.53472877363449,1.15298491093026,4.32707291874337,2.42650442380989,0.310758603849244,3.22161249632403,2.1240311211184,1.44688653629771,2.30338096155332,2.51305851552677,0.951008033831988,-0.792497405003168,-0.460606064590984,0.57149907646939,1.69619530623217,-0.583838785160379,2.86203357277989,-0.763104137864303,2.26527818854829,-0.281271729364733,-4.76477249308214,4.16548007312738,0.361934507692328,0.582301892150531,1,0.352066881454459,1
"K00010",0.831895590639329,0.858604205033428,0.815157046329787,0.217400465157425,1.06602169593807,1.94614206224609,-4.03906723813378,0.302743197708267,3.11290223755001,0.123203519769104,0.585570250653335,3.13729186910871,1.12126353486388,1.5814503052003,0.87126247211399,0.169673039200207,-0.00659219534269084,-2.4143155951536,-1.96101256854253,1.2623258648822,0.802087557216339,1.38125089096777,4.03930993860213,-0.162008043529633,2.72430500411022,-0.0503305135157808,-5.39742104327148,4.0746314799681,0.46177847893635,0.809963965734723,1,0.760322567332049,1
"K00012",4.17225507061113,4.13567104617131,4.19657589393416,4.17580907443422,4.84559078969434,3.46886477954282,0.39919555177197,5.16554595498955,2.73860367349465,4.30159106497684,4.41272718807223,4.12357420929597,3.83283951987387,4.16733347596725,2.69245577529043,5.16798085020899,2.28975050726281,4.19559089127702,4.82076955407886,3.53789214490953,3.99901674462937,5.25939339132555,4.76100191972595,0.188301863758691,1.54175222871278,0.0994735721165065,-3.31883907089424,4.92002481771977,0.44461779608331,0.541402821025002,1,0.62347992081448,1
"K00013",5.54680842731631,5.57280230702945,5.51579159588358,5.47802146529972,6.12947001170278,6.25596886365608,2.4786280464743,4.79106630993373,5.69152155598425,5.72381694903555,5.75918213368948,5.20618717606296,3.94711357445592,4.25182652096685,3.39224679916123,5.39493775553722,5.77157973568697,4.43998971165916,5.27719652646781,5.92418342250371,5.99433407041339,5.61564905356279,5.97936616584317,0.0306983888471901,1.42548564549368,0.0189713918979927,-5.41976930050828,5.60413099671717,0.489062502226303,0.890668705756286,1,0.94594475280911,1
"K00014",5.34960163542841,5.27674528663012,5.4477972830231,4.87556978177088,5.66739592022829,5.6270818475139,2.35034120697989,4.95881398738947,5.52005614385283,5.32735430125613,5.82944542220474,5.19781560725943,4.70964184806319,4.43529607432036,4.15103605561721,5.35161386682247,6.22971564305096,5.89560817420101,4.97245194901203,5.19022558536352,5.54599054242481,6.29749918659331,5.8488962039061,0.265971556000848,0.972122669234375,0.222999980409719,-2.68714236508059,7.4750322867596,0.397815934264394,0.346786356992292,1,0.375413213914568,1
"K00016",4.7911286528322,4.87181114624116,4.65940552680241,4.96217740713572,4.81445539156111,5.98220972271149,0.250381824097849,4.4156762315808,5.74736182528457,6.12547334302649,3.51889551090569,5.23057700550487,4.21834857459062,6.75257456125897,4.77210844031286,5.0898344739813,5.19779307713083,2.28790342661236,3.02610706637842,5.52693958647419,4.42471540194503,3.27910092334052,4.52526371904753,-0.281827102518032,1.87793154916137,-0.129861999507613,-4.8031034936759,5.52825902337275,0.43281251392068,0.941513117149698,1,0.690749556171383,1
"K00018",5.01569916418784,5.03121974813947,4.91131173261914,4.89322401406229,5.24229697720843,5.85359768049182,1.48367285268397,2.74570890843545,5.18839452355732,5.21222664201622,5.17453050505694,4.04970343311347,3.3335282244577,4.41106379695222,3.114450229041,5.18820106009908,5.55464445985492,3.56492677442342,3.91779517811483,5.42268725717666,5.86539136855101,4.62800709693573,5.47842830693387,0.255388070559108,1.76357228992816,0.147527320030352,-3.04915256567632,6.07509393469624,0.402496120401094,0.468566479243061,1,0.473995431812769,1
"K00020",2.06082188777978,1.94726501384427,2.45368410136134,0.597647309271663,1.94726501384427,3.50565337256176,3.44067662810169,1.85165862213946,1.5689469895699,0.759805270869563,0.366648219177009,2.91240460454602,2.74620072927881,4.75205213756811,3.25191584973728,3.59177789278361,2.98409460100598,0.993658231332994,1.47118257067381,1.97971766365511,-0.114448457822013,1.15124776505051,3.3991020343677,0.332707638993425,2.03101263129223,0.161335809906461,-3.2532472746182,4.10803529619401,0.416536678879364,0.556613396173041,1,0.536149959270606,1
