"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ LETROZOLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00003",5.1192625026272,5.03687324403211,5.23463651331528,4.77331941128151,5.88164871994277,4.07674585358875,3.20023948065572,5.11829291112582,5.06947280244751,4.33280593718368,5.70720175803726,5.03396413744008,5.76253285911276,5.02307055911673,5.28365126791806,5.16273059149738,6.25391128843247,3.35972055839761,5.02336445415151,6.04890928746669,6.15419236790969,4.052985691568,5.43329995649831,0.285935721889605,1.17697069811514,0.216482843268969,-3.1493405444111,6.4387005153657,0.366614693712024,0.477800658430775,1,0.332877044588538,1
"K00005",-1.57315616957822,-1.64927438449785,-1.47753572292992,-1.36878697433316,-4.97877267890638,-0.223995275725338,0.393214563699905,-1.63834170086465,-1.48365873416044,-0.772620584286043,-6.16001925781926,-2.17153391498135,-5.14041062563606,-4.45792010525734,-1.22088823221536,-4.97434201314219,-2.29549499566033,-0.306548371757646,-4.5142127155842,-1.59523916453688,0.128740728677172,-1.08632125578688,-0.801189393024021,0.222484383414756,3.50449439445593,0.0474473321322754,-4.48093401093143,4.86571324492348,0.462500007672546,0.781981481813022,1,0.795006065432246,1
"K00008",2.02322332521666,1.50159757158835,2.27005531978069,1.22726888077195,2.43698379815676,2.35537837894647,0.485296136604533,-1.0456007133362,2.25755754906514,0.10112199666816,1.56755949783093,1.33195233065,4.31283207565695,2.12758193534021,2.8415810535391,4.36658066706466,1.30929834141628,0.419907824884456,-4.47527827377803,2.3153682834791,2.42387816736885,2.2501158327067,3.88057390495759,0.607440834349495,2.24954640568893,0.207543564573861,-4.56672245527263,4.44808137107467,0.370312528288052,0.76541723300789,1,0.333206871495378,1
"K00009",1.02104696870385,1.0074349452296,1.05814933272374,0.986799432801261,1.28898028158585,1.80347422013372,0.284536135702553,0.343954986668917,1.30089762964168,-0.567155111368463,1.9827996780343,0.409920056511361,1.39001625441074,1.26016616894762,2.10635914443782,2.27873589236335,0.82105334550773,-0.94914711489962,-0.68158403652118,0.487880063464132,1.51660108109993,-0.904770021948224,2.6694905675505,0.0413496758290481,1.69785603643668,0.0264500219852005,-3.80382812118703,3.71647388555913,0.491419658527015,0.836371535396942,1,0.835848531306155,1
"K00010",0.163482194715918,-0.274567706174242,0.559967340940325,1.94379208514066,0.991066175994183,-0.0980667424234536,-0.774696344956099,-1.79780629205931,-0.831453586520752,-1.26595654726246,-0.0190489139404413,1.86869899576256,-0.320017257928596,1.33919720662767,0.606105717803612,-0.0937926302890837,-0.0645072575607539,-2.65953036836658,-2.136517116615,1.11832726827832,0.507253059969095,1.03555139900873,3.80274992530347,0.52221965576814,2.47086499027692,0.190609151055876,-3.9614918989013,4.42865623326775,0.429017175379004,0.658986960556009,1,0.565324756029574,1
"K00012",3.64710314127289,3.28001117887647,3.95805353979123,3.64106174398984,2.84671199537749,3.5492251639575,0.925112014343803,3.62615571467938,2.91158288679396,2.87580418303446,3.07288060444548,3.81823964805411,4.18862838656431,3.93210935375499,2.50089062787193,4.95525116924581,2.05343714523888,3.94685865605503,4.59267631907202,3.31726478732661,3.76911584084105,5.01263944649446,4.51626951937649,0.776313199137565,1.27439740026979,0.489230445570363,-2.01421173440795,7.80178634098306,0.257812564377215,0.120380991718551,1,0.0854483413258568,1
"K00013",5.12025008532695,4.93684928503608,5.30573261853598,4.88823973536961,5.52026993301188,3.70207662977336,3.16259190534874,4.99252703734346,4.31225634113175,4.2786956586233,5.3216913398881,5.18423432697081,5.45820571635456,4.06758969094056,3.24317665827252,5.17461180799759,5.58412128028241,4.16699330744619,5.09086165416289,5.6993121056966,5.78395869446074,5.38074272720949,5.73239304881281,0.290011895745046,1.24233087057278,0.236908520372728,-3.72149223487667,5.29881723704758,0.352574135711421,0.412575664319171,1,0.245961396382256,1
"K00014",5.14413313318342,5.10910065063997,5.22946649484929,5.85383657945638,5.24894006440559,5.09667228125901,3.39780520073413,5.97013163601678,4.8114656525399,5.12977345764906,5.26042834043772,4.95438036231007,4.82742155741176,4.24633850814713,3.92849012120904,5.11834952400753,6.03962686727991,5.62362362132902,4.77143030528207,4.96331061567817,5.32731095280997,6.05430466709632,5.61502574374247,0.0979943114528066,1.01326689553027,0.0803224870646911,-3.33080821698462,4.48263063357748,0.453125009621297,0.727482839426326,1,0.664787611769036,1
"K00016",4.29783543007765,4.22786993423499,4.42872274336739,4.43235269254513,4.52950685322792,4.21170126332741,0.945511913218501,3.32423899733771,3.6573483912299,3.65729405464646,4.26048448518591,4.95658250786997,6.56073153564986,6.55084220309621,4.61590687856582,4.86751379281195,5.01210848502325,1.98621863946661,2.77807796837518,5.30813660610217,4.22089615938173,3.08017066559599,4.25541366198639,0.250641366124188,2.00052361677044,0.118822725423153,-4.04358795688998,5.92038307720144,0.4414976719363,0.729896835032431,1,0.614540850500119,1
"K00018",4.43084623817346,4.33060360533738,4.66985197962827,4.43216017683177,5.42622430080868,3.63120074515857,2.74692996120429,5.05426577803342,3.72677079243065,3.72297735299248,5.16608007738482,4.21051662741292,4.8061961778885,4.24658275694438,2.91271248236307,4.94787476859409,5.3465112504497,3.28850714511156,3.6994078236758,5.22190233200665,5.64663867007201,4.39395597156902,5.23312941138572,0.194901086407887,1.35627895296083,0.159915477867648,-2.98626167920567,4.25511651004958,0.429687514593698,0.625628535872012,1,0.532931440656866,1
