"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00003",5.10010374173639,5.20575658710541,4.95997111317545,4.93193824062427,6.03659939297003,4.24501976404453,3.43113628721277,5.28688915687239,5.24236495878564,4.50325831869524,5.88081271243113,5.18795499413955,5.90854666298711,5.97476065988623,6.45888894583195,6.02709723976877,2.08484753181358,4.90131757215581,6.04738822096073,4.94917892349242,4.93419240618351,3.48439322318374,1.96479324387644,-0.0199145063222161,1.58626900816877,-0.00947250546798653,-6.29978781151383,3.48123929066759,0.488299534355622,0.518210469458448,1,0.918511526689255,1
"K00005",-0.866508743048104,-1.42408024755138,-0.230848649246674,-1.13689857652574,-3.93834504878431,-0.108939542203792,0.632866771249034,-1.41313505537964,-1.4131197431775,-0.584323072480599,-5.24305133483425,-1.94607746903471,-5.07907998347763,-1.83916481621114,-0.70377775348736,-0.95891116196686,0.962638384095365,0.441401469984674,2.00404826067002,-0.153951476571892,-4.71240825184902,-0.909985426066358,0.345749300064798,1.20015650437113,2.85609926952682,0.341505576932451,-2.95264832442097,7.45574686716168,0.301562547920031,0.21133014030798,1,0.139111771065622,1
"K00008",1.54520862789595,1.69749989146574,1.44655412250406,1.37999935012298,2.58619920280221,2.48028719102802,0.735780702775463,-0.941628313182209,2.41860875557734,0.307523662134406,1.74521183699747,1.49399095669517,4.46317328484167,-0.0155419303779993,2.44186182646712,3.04589282948731,1.36863259663883,1.64793571408262,1.45075299744338,1.37717986636198,1.06610977615936,1.97656127792884,0.825726870537165,-0.159430155171303,1.69927725004431,-0.0831936417985496,-4.19629075854608,2.95001604971586,0.460218416856095,0.780706582168364,1,0.772475673997056,1
"K00009",0.921852114537973,1.1656743441709,0.768364628419189,1.1656743441709,1.38697744612825,1.95794484539663,0.521817623357983,0.50830808262711,1.45852566447634,-0.411919079276824,2.15237761475178,0.59026346183826,1.57797287885661,1.52288497500186,2.77454792801116,2.43024195270953,0.678339411275648,0.467800737313453,0.20721303047617,0.889680366569392,0.777147551670398,0.23524366696715,0.198320444274027,-0.141585337440974,1.33000024209116,-0.131398589851398,-3.62603528749589,3.55562283695951,0.447737920233054,0.813751760183321,1,0.70209247263959,1
"K00010",-0.0162548898855412,-0.0209616060758329,0.0198774521890197,2.14993088936898,1.07352014096623,0.107857666672247,-0.480899297813179,-1.47099676366465,-0.523073843512716,-1.04334265405411,0.201782370928148,2.05163599946062,0.0336124812258749,1.61298166055256,1.48629988317625,1.09968895836634,-1.05808806827173,-1.37808454298847,-5.14067884517386,0.550197510612539,-1.59653707986072,-1.37320013526178,0.817328584023442,-0.369640655480644,2.3465895490975,-0.128720607465974,-6.60216484370054,2.43987406004845,0.429687514593698,0.448019600718625,1,0.61253423434151,1
"K00012",3.38691806151698,3.46714622123854,3.35918658303769,3.77982272488344,2.98162064284925,3.72796965964955,1.13303632334509,3.7849591696514,3.10349088971443,3.02980728338515,3.23401277853014,3.9903526156797,4.34015337523904,3.66881463144423,3.47420195961443,3.51228179180419,2.10732448692456,3.03406610486411,2.87398659371732,2.80235433518157,5.19692495971042,5.12926424966864,3.33241801058127,-0.0967689585731462,1.32862797738932,-0.0681889651354261,-3.42052477682703,6.67098356598169,0.46177847893635,0.641383723502186,1,0.862902118199138,1
"K00013",5.1250596434024,5.1193833771991,5.15556479595009,5.05771041572727,5.64924307556176,3.82551075154078,3.40025777822359,5.1828176643409,4.48114706686431,4.45736456873056,5.49483411971056,5.35216700781986,5.60900102623239,5.8939118404481,6.02889048907347,5.65271777279714,2.45447924400327,4.89989422730336,5.82462448359851,4.97457426720551,5.39061149709893,4.82180855881787,2.99073315521688,0.259568607192747,1.23556148405643,0.156712805846196,-5.56454299120089,4.74682594735496,0.420312516634983,0.925658349848317,1,0.531115616678213,1
"K00014",5.34884294815013,5.27856518867976,5.49063065797233,6.02003306566318,5.40089771398136,5.25299214103128,3.64765242889876,6.14948219750476,4.98809394340493,5.32062601962146,5.44908723062573,5.10743215925638,4.98734819010299,5.51094807023319,5.56803922742253,5.8101571604183,3.37531226844632,4.7516391732475,5.52537253242667,4.58369580070167,5.84860806662527,5.58498993355489,3.9552553930576,-0.0281629264165311,1.07506033701086,-0.0235168632508353,-7.00517481142797,4.58504912313187,0.492979720612874,0.608659874353901,1,0.953844276369915,1
"K00016",4.34871455211129,4.41992384516098,4.23438120178176,4.64685944806163,4.69675961489092,4.3952876202982,1.1958924123301,3.46062491945216,3.84822604762221,3.81411358743123,4.44518938246678,5.12474726738418,6.70253114174443,4.00120711517005,4.43496927273766,4.44679041067487,1.35217892486481,4.99330159648417,4.77729454382195,4.05401097250041,2.5470783974818,5.43382090832265,3.47249975502927,-0.107349435204276,1.72915994790723,-0.0584770385197707,-5.79401527507143,4.20639932224305,0.465625007026818,0.646217777808152,1,0.81365160333088,1
"K00018",4.64874019116318,4.50674514403201,4.72143895638678,4.62182751837624,5.58999313632413,3.78808444454139,2.96789257355659,5.21554438684762,3.88781733278247,3.90053029126489,5.35563268965443,4.38653282302308,4.95583927065642,5.67751100279423,5.38850961556894,5.30776275411651,1.79108640659212,4.6528643050562,5.5184333749942,4.76544218419594,4.0526557153226,4.52956286161367,2.47047779488614,0.14447771258016,1.36314397596298,0.079786895874233,-4.75917606426562,4.1715759563171,0.454687509295184,0.912744259057164,1,0.640443341488233,1
"K00020",1.87557237156863,1.65225123779037,2.04775114514774,1.72476911202049,2.22174070671825,1.24459719801956,1.58832470682366,-0.548344075480248,0.627215062308776,0.971037002755198,2.37065166480953,2.16530446786646,3.62219051613373,3.71546964432495,2.85769591470685,0.215527034546241,1.84112377717391,1.79068674163662,1.68265367809554,2.49758583992963,0.142813425714108,2.1908522290628,2.60703510420292,0.402893445245011,1.65823252036655,0.234553239882346,-3.19662447901463,4.33358869847225,0.381250025603948,0.532046288694919,1,0.404292857877417,1
"K00024",4.66917415420043,5.1222465713904,4.4897468035172,6.38597287229782,4.56513690932047,6.23930446100937,4.2402741028004,7.03806951723287,5.0887900523278,6.23110401584829,4.7746510189096,5.1614084835539,2.5260726488746,4.76277620559358,3.12702915496533,4.10364033397499,4.42874669114908,4.47699156402818,4.52754060488845,3.70954065671681,6.55512191793541,5.82891567651295,4.53742056064738,-0.620137258645251,1.72166907039055,-0.404481291807939,-6.72957454455432,3.02416227128604,0.308892401084976,0.258741863045982,1,0.171521831496677,1
"K00027",4.79988111747682,4.77597315165747,4.828807739534,4.62715321956859,5.76102959369291,2.69638895002769,2.93122369345423,5.0882859675049,4.61866143414939,4.48892949102926,5.85367019253519,4.88479509899086,5.58542030068881,5.88116574727054,6.16264619616227,5.97850895726796,1.6068983544837,4.94317397247439,5.965774331678,4.70093200014554,2.97691834149076,2.66514658006041,0.751017243548922,0.0362806976223107,2.42662301295542,0.0114306781243723,-5.18864760980289,4.29608516867831,0.490625001908018,0.510731109317436,1,0.876293175187815,1
"K00029",5.25309154592475,5.74604202608407,5.09465412928575,6.9083019081193,5.35844659479562,6.93593596459533,4.482502261795,7.13744342015737,5.75346769709633,6.43816789115389,4.31551929405331,5.72675013433602,3.24915017026255,5.15279370301464,4.18204376036498,5.04375185651035,5.16118949168335,4.96470586613124,4.46385682640447,4.7681480247472,6.56728235068543,6.89859735834365,5.42087733528754,-0.430592794447563,1.61608744337431,-0.251623423971647,-6.4265989589546,3.70970630037559,0.38065525187642,0.466991230299414,1,0.355402530905627,1
"K00030",-1.58024123749478,-1.3738320113815,-1.85809856431127,-0.20290266034087,0.545006684760041,0.206590394782946,-3.88694756068886,-1.77855769019096,-1.74494347799237,-1.80933494556126,-2.10649810640429,-5.48902770827406,1.2870450328465,-0.597302595224354,-0.0621463913858609,-1.78140131156244,-4.15580694240151,-5.65981951223407,-0.223968398545814,-3.4257032224773,-2.21151228188899,-0.153608196733655,-3.35943402830039,-0.784013044762673,3.23629205126828,-0.233830072189578,-4.81880201062966,2.92928916128476,0.392187523004041,0.539333203237847,1,0.516369985954448,1
"K00031",5.10995074698604,5.06760898534715,5.24525961768811,5.24080232918962,4.84439540757022,5.14655622984167,3.42925148785185,5.3622335099645,4.16328302707935,4.42896625845503,5.2748056976746,5.04517949583648,5.19292895443744,5.40285847988144,5.78163149037519,5.66602448036994,2.3995547022934,4.79526504143102,5.11727570879252,4.72840669703851,5.94662225237407,5.47007113973598,4.0596980570945,0.316250269134033,1.01572400619185,0.251460585065644,-5.42196326035275,5.53492643851516,0.367187529071964,0.757265617878592,1,0.342962643973673,1
"K00033",3.02779139414746,2.47221384786147,3.46004677986241,3.83097379545696,2.04529624281265,4.95868037072202,2.47920756155433,4.36937100735592,2.02950722350478,2.40926657193346,-0.37033610402807,2.86340538401279,1.6921386568819,3.96987832468985,3.43057378232715,4.3293792630251,1.98513888317989,2.76898894333621,2.25403172998955,3.14816983644965,5.15193886565829,5.57374562704482,3.4683380035421,0.950184525439856,2.04844265637889,0.44382044909854,-1.84317545877912,6.45091335185241,0.31357258681737,0.129865462770924,1,0.131302231050683,1
"K00036",2.68984643116724,2.4940326391068,2.82133218669159,3.61480667494116,0.145078784911004,4.67338884488606,2.33396055366212,4.04734085446717,1.20561843611493,2.75410236485822,0.463377956248904,3.08776313781766,0.441069576869303,3.00777974708294,2.04062043033362,3.15868442157986,1.48286995819005,2.3809269768514,0.54619811428919,2.64941208450532,4.29279632657379,5.42710805123786,3.35097101838608,0.446803980788628,2.22080665676436,0.200643188181162,-3.03264771825148,4.7369701327942,0.425897051248237,0.425555440090489,1,0.502829238292667,1
"K00040",-2.45288868517911,-3.12785807704028,-1.80415559611418,-5.90209770852397,-4.74851899237067,-4.30224765524833,1.23990629452556,-5.87365948211402,-0.238347052104931,-1.27705344250675,-2.06098275957404,-5.03792381069577,-4.70757275971297,-4.76103898480827,-5.08477109147472,-2.03887928354376,1.68404018724681,-2.10515061532353,-4.75911362008557,0.509344710950745,0.610246859719702,-4.53532884113994,1.33550764614094,1.52903920065942,5.14506964292733,0.283096642353086,-2.82513311449863,5.18661855999339,0.36406252986395,0.426333298063744,1,0.343715241318279,1
"K00041",5.17858058145067,5.05722146025201,5.29139315276666,5.42800487402392,5.69260219011845,3.20341109461155,3.38337297520076,5.41923883659423,4.3424443615089,4.08734380954413,5.29704064945329,5.05577228941681,5.05868069244761,6.0327094443367,5.61438876848947,5.65129186044096,2.39422527820978,5.24960170274701,5.80059614383034,5.33422116236002,3.71774977518656,4.79070667568355,3.55441752645201,0.240739905122252,1.61124643222733,0.148074385272922,-5.57628804181884,5.83781533809849,0.400000021192742,0.806390294953413,1,0.458691125051419,1
"K00042",0.676724052428092,0.383349000845271,1.15252529602066,-0.584002960844893,0.799809949440274,0.0380456778588769,0.234226133680119,-0.761167210048548,0.397284116445144,0.110786552127252,1.6687534523572,0.821900738683217,3.37774309600493,2.6307500170611,1.38774518398408,-0.750434369429552,1.34833207139429,0.633718620313122,0.646778524726459,1.64526846474994,-0.629007670354204,0.652248742066936,1.89024448138063,0.484923348338197,1.63433742191397,0.283435711176002,-3.70423262794198,4.14535028248796,0.367187529071964,0.549112855830408,1,0.345408775628396,1
"K00046",6.12609584414712,6.69989692689513,5.93082549225832,6.95127739838206,6.40375674588587,7.27742461244697,5.42209354754168,8.20988744599043,7.24457955199379,7.21099227548525,6.18453671659823,6.04084295603751,4.81843133568853,6.21882500964016,5.30319963762832,5.92792038452856,5.30668954311879,6.05863268659572,6.36238487001713,5.09513044846641,7.14665440109489,5.93484140015035,4.81996081383873,-0.883905499187865,1.20486063037224,-0.606592848851165,-6.8009579385222,1.69080794927222,0.246875069245073,0.0688191693189583,1,0.0656906947541622,0.999581340841123
"K00048",2.21445252846665,2.22543727356168,2.16354411913859,2.37926855655541,2.15219635938717,3.37209707738269,1.37521206192979,2.94960946188708,0.981805154594902,0.995573389043292,2.39868618333599,2.62320201143447,1.69836869384031,2.35911293373039,0.811945770383383,1.05931149739088,1.4542342074554,0.168096872326339,1.94979111829096,2.70046702601961,3.67623257510598,4.63855564238696,2.92252292642398,0.0594818302672016,1.65594090829874,0.0335655026440029,-3.65500899140247,3.45949393302257,0.482059286014651,0.85443982899542,1,0.882339578958194,1
