"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH- VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00003",5.41219832504571,5.81113964788849,5.33459252567063,5.05875041569511,6.15271599337407,4.36467177987454,3.58761914769662,5.40390427436938,5.36244361120273,4.60880272917194,6.00379322802756,5.32222758008762,6.01020989682115,5.30920396887671,5.94751457776124,6.44281153944262,1.87482911156051,4.90169145683805,5.96652087914385,5.9839783549081,6.13784448035207,5.67524806530355,4.81447455050247,-0.283327830643125,1.17573490519474,-0.173997719954934,-4.98739870778141,5.15553569656083,0.396255872221582,0.81440527795904,1,0.409838009320401,1
"K00004",-5.05539708872682,-4.70993002280946,-5.40539091781272,-5.40539091781272,-4.46842645957877,-4.6034962558693,-6.99703861608036,-5.55313592921226,-6.120355986372,-5.38111415153536,-5.72313652459063,-4.72066116377359,-4.1389146044929,-3.88022169861915,-5.67482240841929,-5.15665004569469,-10.3809579643931,-4.31157269828182,-2.02354718023491,-4.72955742449454,-4.79167502487917,-4.86565725367962,-4.23807320829456,-0.55785918543358,4.68090291959971,-0.102881673044439,-3.8632740820736,4.01941186725952,0.447737920233054,0.679480961869602,0.993541004693718,0.592432130079673,0.995007319766049
"K00005",-1.18414913829914,-1.03452973044796,-1.32299029251436,-1.07183934751389,-4.50024849537689,0.236593834437986,0.771468829732468,-1.27031633124503,-1.14186912529858,-0.456931851695671,-4.84203020645064,-1.83935783776309,-4.64886439811471,-0.659356729156427,-0.56178230652775,-1.48800327273957,3.18314077676201,-4.49674738127613,-4.38299138007353,-1.20519709389984,-1.54003564141832,-0.166970276196823,-0.780759833332823,-0.464325338005018,3.4865124569399,-0.123384272447907,-5.3130935390732,3.94014700196616,0.426562515270299,0.573609306102277,1,0.652394746314058,1
"K00008",1.90788697131534,2.07978008745304,1.79144693343534,1.48940553526169,2.71698689717061,2.63923639636258,0.887203466182085,-0.633480619073618,2.52074408119301,0.372810459568385,1.83359836934872,1.6108527433736,4.54450446365564,-0.03778742595021,2.39161183499409,3.15559528347744,0.659529309124522,-4.50046764955315,2.92687526987172,1.82253404959366,1.40233375257527,2.33811212814071,3.68298167558491,-0.10730981556332,2.29316972398168,-0.0276213228546405,-3.40142749671056,6.16978067872948,0.481250003820066,0.663055181855979,1,0.865577860123623,1
"K00009",1.54050309954326,2.01398377904427,1.25882815821159,1.23795700489894,1.47337753426654,2.01860083279994,0.661773651209203,0.708104413374391,1.53855464434702,-0.252620118046378,2.23641077904355,0.78623668916593,1.68345230657679,-3.84689968563002,1.34889886894182,1.80406215119456,2.62703441636355,1.23984247352302,4.41534177247518,2.54336519100947,0.363989439825831,3.2877554775114,2.23585337226996,-0.684981260600288,1.74141225550036,-0.30504972479312,-5.11627550058615,5.27099701097854,0.330733268102834,0.646835151365842,1,0.190074595006387,1
"K00010",0.550784469523039,0.951081721311786,0.0425680346269424,2.2111037104257,1.28489405997543,0.0722282983132665,-0.418400455134384,-1.26137099094989,-0.412886155226067,-1.00702710825927,0.360590426829845,2.18130842725441,-0.0677080499807001,0.168970617529755,1.08268302455223,2.02951352805474,-3.95300020863212,0.340103278826447,3.22672725970708,0.233871486041291,0.624464927291223,3.17831188553666,1.16051863495333,-0.863954984442002,2.32119330035409,-0.320728616850385,-4.24986377476023,3.48373947411058,0.354134197702568,0.534370974910233,1,0.268475465614107,1
"K00012",3.86673131057126,4.1955722147659,3.57442140455452,3.91018795209247,3.08675748594593,3.81881492397818,1.29148561731567,3.92726034003911,3.2169513959397,3.17033811284379,3.36154283820659,4.09994616549345,4.4321573252326,4.26880806298902,4.89870778231239,3.51807466818496,0.508834770021022,5.24385561755087,2.79975562597871,4.35708787631756,4.46843876701247,4.17588962298176,3.85113514460424,-0.511374503879664,1.22753891481735,-0.324214602941845,-5.3908813746769,4.51222168241308,0.312500044389148,0.470623602236497,1,0.157830293738769,1
"K00013",5.39342565654047,5.62584295254105,5.24912978992653,5.18401213297195,5.77360913400595,3.9594428352411,3.55212142455836,5.30691432325679,4.62124645700288,4.57719411347505,5.6218905973311,5.46806905683363,5.70262840581293,5.53551174771445,6.17796639105473,6.28709739583487,2.57706047306138,4.86331629180592,5.69839701969165,5.75817126421706,5.81514336428661,5.2848229339519,3.95645326018423,-0.344096804434341,1.2295958727572,-0.244228339003215,-4.53085822050354,4.09827450137618,0.356250031881158,0.630928753108595,1,0.268785925761545,1
"K00014",5.35634978863003,5.30526606247534,5.38921021502296,6.14181950521957,5.49590341474155,5.3493306362737,3.76016732577023,6.27737786291037,5.09958736999148,5.44927044266428,5.53329053081294,5.24766103579033,5.09615927277154,4.86602903853961,5.71529490488122,5.67442414958665,2.44030745999119,5.03487390739793,5.56014793478191,5.37268351078588,5.87817023005106,5.23701306231108,4.75194459183776,0.143521087142904,0.896629352185036,0.12691089988679,-3.53570746680989,6.60161663314907,0.432137299513371,0.460475609754498,1,0.634151174386759,1
"K00016",4.64624793590916,4.91386081350261,4.50541909212828,4.74496993032043,4.81656853600178,4.47060757349831,1.32691997922992,3.56990089035044,3.95577818304067,3.9543763289069,4.5434118256835,5.23936360128833,6.78959606104027,5.00487586495562,4.85827141038332,6.04109660475861,0.32817164664092,4.43607114874072,5.78250915058418,6.16454780695191,3.61642635558923,5.28562932133793,4.25732530813965,-0.415381517239124,1.8862594732572,-0.193796024481014,-6.80343626171008,4.97112127076732,0.390625023370703,0.739760329754853,1,0.382406051765572,1
"K00018",4.83016947931017,5.08415677376306,4.61125988857701,4.736166111125,5.68728238315719,3.84718769516995,3.1030659400916,5.32993396796052,4.01844328073623,4.01429666939586,5.45314513080515,4.50626164523113,5.04339002474354,4.95153601290945,5.28006871560274,5.89366834561707,1.57373912804849,2.81878788051314,5.23504318021697,5.25397611684749,5.25047342274202,4.06107728691427,3.41123227782106,0.035283946866679,1.59610437223925,0.020665285713859,-3.60904375481733,4.9357554269195,0.485179410184784,0.687788060777524,1,0.931336549963195,1
"K00020",1.8595588343506,1.99668292992418,1.79094615209981,1.84547123770326,2.40722844438206,1.45698423616722,1.73249772969813,-0.384089853698523,0.902498512954889,1.05976147449859,2.52288615149166,2.30400560076457,3.71441716298363,0.522817259405882,1.99692331487774,3.53850664750305,3.537502150475,1.83197367566179,1.6340628303546,0.845043965192593,0.444402002335826,2.96706788220704,2.82605140969508,-0.278540669346339,1.75295950597049,-0.141188962917402,-4.25897792691666,3.03200841408833,0.443057734009453,0.647352679227252,1,0.651145886331161,1
"K00024",4.76225899673829,3.75812917460935,5.24098890124455,6.49951389930535,4.62161241138731,6.34662491069838,4.39167286637223,7.15939089698756,5.20286613500501,6.34671733319913,4.85139139507245,5.28383708864632,2.55400471184779,3.31389210815764,4.50448039294581,2.57146782241219,0.582980314305354,5.21111126215742,3.54312868259496,3.83824487778006,5.26471652547343,3.57812683284562,5.61538411669982,1.41396167559632,1.94425598773187,0.734050842128892,-1.54423357506049,9.82487493522395,0.226209127671806,0.0278083682364076,0.400948065178413,0.0409300814317262,0.390588217572919
"K00027",5.09637428988644,5.35329618777785,4.87747839033326,4.7387327646362,5.85734409528386,2.77224357670716,3.06385665114948,5.21608243046885,4.75332220767894,4.61960363771491,5.97744051475718,4.99432557920395,5.66222754722335,4.94394014599639,6.13395227353015,6.54172457042855,1.89250141582449,2.48859757429406,5.62053228787182,5.51936520397309,5.59789967783226,5.17899415596529,3.89769191082315,-0.220738396655421,1.82142632021425,-0.111621436617809,-5.11412123893195,5.250777074089,0.455538230618297,0.957772296824995,1,0.664495841812986,1
"K00029",5.32864824997562,5.05966632843499,5.86644859372577,7.0169687125121,5.50146396583582,7.04044668882654,4.63300352991454,7.26947679220884,5.87173612183136,6.56371995733307,4.45734253950321,5.86479063612118,3.37295705340361,5.14042486252917,5.15620346406709,3.86635933263524,3.72566821214979,6.02958162707719,5.02186002784292,4.48936276421771,5.51350952011452,4.86212204194059,5.51846133158121,0.922159040802952,1.43890873613207,0.603614085332555,-2.4886868111673,8.22908370803667,0.288611596665664,0.10245993435752,0.644962527760848,0.117750489158674,0.661357867153824
"K00030",-1.5896988236262,-2.1809487191439,-1.18237591102736,-0.114852052198968,0.685934671132053,0.429683901483703,-3.73047330652008,-1.89801366342365,-1.39316557233841,-1.5318098135626,-1.92584559315797,-5.18324425153354,1.43413265363944,1.01619684019778,-1.42057058868936,-1.45218248537086,-6.62256339162716,-4.70378835946239,-0.353976380772187,-0.475194832715715,-5.6666351963507,-4.31339787706087,-4.57890055445445,1.41635425540844,3.92316597914266,0.327638438024319,-2.271971607781,6.72115784127511,0.346333887770854,0.265264460011161,0.872911999112586,0.32227480095369,0.930208504846611
"K00031",5.26221106892489,5.55742334003237,5.17772840206074,5.35035698680645,4.96060098408791,5.25075210310297,3.56111200078324,5.48094119853769,4.30058138225657,4.5492915007185,5.39272607041084,5.15025591197639,5.30073074181781,4.88769220577192,5.71371142985079,6.12912585211953,2.42451633416741,5.45230051359241,5.09097488787586,5.73581803914588,5.64576300013976,5.78109885630721,4.17094710204257,-0.388846474490673,1.00759432511735,-0.305046464296615,-6.83393536876259,5.19436924190681,0.322932958378304,0.665439856228582,1,0.17407503003962,1
"K00033",2.73682958962889,3.03401094595551,2.59904232719056,3.94215412001402,2.18652271364946,5.04541478102992,2.61757128143577,4.49500513078214,2.10540713261435,2.53725364390769,-0.360046800982607,3.03394366107668,1.72190125126989,3.15977316408137,2.07676945987964,0.566671355862328,1.36723285894716,4.47093934737075,3.61704715875521,2.13826359527864,3.26699198410668,3.78038377957994,3.00594855813522,-0.0645023887366563,2.08333069392607,-0.0362427409358961,-4.44503667205443,3.743996696961,0.483619348099621,0.938597220220035,1,0.918195484855702,1
"K00036",2.10150710299935,1.78619186050948,2.63133259568583,3.69888477457405,0.155216772975621,4.77310192370159,2.49153144218626,4.1584849495835,1.3588767621646,2.8472755301912,0.543078038239221,3.17764763412088,0.465972640639402,2.32400115102917,1.09577060244398,0.82959616208575,1.67959393198327,4.03182949586093,1.04693916691993,1.94412207545901,2.66730313029203,2.50897637374303,1.42413083294638,0.455478884338292,2.12886873990852,0.219711883050099,-3.0466071642139,5.82556446148838,0.418750016978683,0.53163952498063,0.999666301148252,0.573462431531317,1
"K00040",-3.47460498985685,-3.75487254084698,-3.09836920330015,-5.54555566635132,-4.51619214800701,-4.78439274995488,1.36719324685959,-5.6565276855201,-0.0435195440792668,-1.31150171194748,-2.17324783488385,-5.31140890688843,-4.20901595308151,-4.07053338890254,-1.96907906003714,-4.38010894766151,3.98833149514209,-4.69388486479324,-3.60503529969832,-4.87353756425084,-5.73720302997243,-4.63207311135544,-5.20707209023381,0.690870175521187,5.41854156112151,0.108001182146842,-3.70236597087943,3.75396850244802,0.443750011590777,0.727262242600393,0.986123050254121,0.66360581659053,0.977690147295013
"K00041",5.05681991240687,4.61619146592489,5.15953539949781,5.5252016947437,5.78463369220562,3.36287971596895,3.53564126366113,5.52956064692046,4.45790192060074,4.24329426896288,5.39542134027108,5.16774014141155,5.13958681666468,4.02116996772605,5.38056222119967,6.31906839652801,2.84398958691177,3.37221726866044,5.11847985180196,5.08287999212913,5.77225011656052,3.55799968011776,3.25768096700207,0.262684057970961,1.62948970162201,0.181083929011418,-3.34444601229141,5.85322160698554,0.407176306549622,0.475509478967073,1,0.488853711110871,1
"K00042",0.834529692129113,1.27149649845995,0.485824179541398,-0.457813266697425,0.81651430948679,0.25103554663559,0.401647141380917,-0.567198851912138,0.486545784162701,0.250211666062818,1.79283298597565,0.877975131817678,3.47942863650029,-0.174821237723341,1.1881340468147,3.08534281304292,3.18815747540082,1.13692135149046,1.08687233398928,0.59529348339961,-0.156208980493094,1.8396713480704,1.63082739274114,-0.691228108744838,1.79546026036852,-0.353483267389485,-4.34570276307205,2.69090184624272,0.335937537405907,0.315809209675652,1,0.251823435368811,1
"K00046",6.18029500117396,5.42807334429715,6.83075925578342,7.08005753479326,6.51030119220693,7.37304309920212,5.56954885917285,8.34289565198758,7.36518009980228,7.33196667012274,6.30427355457852,6.16202739427978,4.94106780038305,5.72188312290678,6.39520221439968,5.5014657478801,2.16457687287328,5.23626067901139,5.22514913972887,5.31549128245375,6.20412473082466,4.05507561912244,7.25668886941692,1.19921864442375,1.62632663692626,0.694904574822652,-1.41610274477715,12.3016278628931,0.200000095367178,0.0211272134269981,0.39893902165555,0.0191454370899998,0.361565719048502
"K00048",2.18225227081917,2.08579392877113,2.37440133245596,2.53446110976533,2.31023269829913,3.46096872564139,1.55834264656946,3.04647970132664,1.09545476250683,1.12397075521013,2.54412978167039,2.72038813809549,1.81351551936455,2.98225562911199,4.15313936077823,1.0651648800306,2.13517698710671,2.89416551985343,1.68740849653945,2.95868670103442,0.250415211273634,1.20348309541084,1.53967048580917,0.199294434208032,1.49234131065586,0.10516178290596,-3.1296790973178,3.41553543109746,0.457812508644603,0.765418955486102,1,0.791410529292689,1
