"","rab.all","rab.win.BSH+ LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00003: hom",5.20374123265979,5.30156557793065,4.87100418617823,5.86501702419054,6.36538514709351,5.95940302768663,1.94819531920658,4.80759980565237,5.94784312973257,4.84282538141756,4.85962833053091,3.37502749436607,1.80766196930835,5.10239017210581,5.3696069717082,5.25327563950504,6.33509039683822,3.4151024752063,5.08628294237211,6.12598079535532,6.22529633599253,4.15265591747267,5.53074891257711,-0.349362561100502,1.73659931013771,-0.182032435699751,-6.80692055023836,3.22286318516035,0.37753512782703,0.280883901643804,1,0.329916382959146,1
"K00005: gldA",-0.836965291510355,-1.40733334693111,-0.298956084229152,-1.84510651098639,-0.649647663201922,-1.03826913135435,0.854371926655803,0.354352519291325,1.93609035356548,-0.285339034468755,-4.72993615171533,-1.31116770160149,0.25875634056936,-4.21686288266086,-1.19323391339198,-4.84299409752036,-1.94154908819502,-0.146337763678241,-4.34875078691914,-1.59165719969011,0.135599978663073,-1.14484532820135,-0.559122134178478,1.17619544959721,2.72470704926563,0.362546090871194,-2.31224527344849,6.93734386638418,0.277691163841411,0.234280637828016,1,0.156087285392626,1
"K00008: SORD; gutB",1.79669382770486,2.3460051078665,1.32839804259138,-0.103764090652341,2.37825799591421,2.95626979829207,1.20378820523486,1.62173014541842,1.30687309690215,1.30437238939069,1.03606418388985,1.907664698319,0.733562218814234,2.1325403212646,2.9176958328648,4.37827390015722,1.38156375275061,0.558501550684452,-4.66857391125798,2.38078098331427,2.44624572286782,2.35452690049527,3.95091066788706,-0.96873650482836,1.78902318234571,-0.404710510307899,-5.96273243276562,6.35964278647816,0.317187542932545,0.663551439026133,1,0.149676803459698,1
"K00009: mtlD",0.769657164362979,1.06363167159108,0.631291414020806,1.47109341430905,2.67000041876375,2.3325109903851,0.543481393358735,0.306004942114216,0.0715363691729234,0.801180354035966,0.616212375627528,0.165169992397432,0.104621170421192,1.30450226193931,2.17894362055533,2.37812509819554,0.827988214114953,-0.950211471017376,-0.651663684960363,0.421549525501639,1.56316151545227,-0.755237474050904,2.6955461343703,-0.0625921563990879,1.90407393778658,-0.0294218394551525,-3.98589536101569,3.23360727718388,0.482059286014651,0.88263942343779,1,0.829843990181645,1
"K00010: iolG",0.456793453055522,0.667331134265536,0.0828525089992027,1.4495291659236,1.42700723850519,1.10268324145981,-1.23877225161122,-1.37068861680139,-5.38769888624182,0.498457292408784,-1.43092609170909,-1.54697395696202,0.667505768653298,1.52178250714249,0.758559434734858,-0.0192150115521326,-0.122986612018494,-2.54711887625442,-2.06363323667534,1.15674398252074,0.824115783642387,1.17996821322362,3.86715063070499,-0.699054272120406,2.79225382103156,-0.223556448070418,-6.85838265656581,2.55684233456204,0.382215313903708,0.311639199223849,1,0.395889798572171,1
"K00012: UGDH; ugd",3.56092435010784,4.03534728014571,3.26135594950051,3.58193471480047,3.42540738076689,3.38635537736581,1.95689686509793,2.93033999127272,2.809717714563,2.71255398265559,5.08218458660963,5.09689423121803,3.23148544607747,3.99741920484252,2.60815488764013,5.01825525867474,2.16566628133525,4.02981165148055,4.68449671118617,3.43086815958018,3.85834113141793,5.10710546500612,4.58818525629887,-0.677077734182994,1.50240532038907,-0.462022568701152,-4.54921915386939,3.38954922669145,0.332293330056948,0.257718983628018,1,0.208173888804694,1
"K00013: hisD",5.28380796372525,5.38400308116094,5.08389249440351,5.80163507810254,5.93882291523487,5.55835502424712,2.31643738744661,4.80710153148721,5.74307775132416,4.86555199106642,5.29011374217656,4.74208337711948,2.89963429562341,4.17164508722151,3.27276128753046,5.25088556542095,5.64113661546254,4.28354072633653,5.15672473957424,5.76847926746534,5.86185350235553,5.48523435215472,5.81489293464815,-0.142566346124144,1.36432481861615,-0.0834277937282974,-8.24719642585281,5.35660270666619,0.45000001027527,0.583330563577816,1,0.691379271850441,1
"K00014: aroE",5.37042830148628,5.28937673017015,5.38803394155163,5.43040041686239,5.46684608838549,5.72795876445624,3.24161284161278,4.6456672045343,5.41318765040393,4.48360380159698,5.77682170239496,5.46413047146282,3.84917393348612,4.32384279943487,4.03742823864617,5.1856557481201,6.11849722336635,5.72615790578938,4.83249621466015,5.03754648843602,5.41940520711953,6.13056411608361,5.69138392068759,-0.263292711382338,1.10037320050462,-0.204071404422663,-4.95647371580515,3.56561085588979,0.402496120401094,0.425198241271833,1,0.491217555180887,1
"K00016: LDH; ldh",4.33901071334018,4.52756965468155,4.13197181667824,3.92888495095728,4.33482401023402,4.39370730210918,1.2468161108814,4.88344505022734,4.68798409928489,3.97077494853139,2.52656545212603,5.34263894935933,3.35785708018317,6.61600079077719,4.68471955155628,4.96073520572229,5.05654986242999,2.14394253782946,2.8434630579744,5.38543093980141,4.27838877734818,3.16964458745228,4.32811593750204,-0.455027219794877,1.88875317954673,-0.22472336076156,-5.81650105666005,3.53813992812845,0.379687525981983,0.416605095073477,1,0.383961397058824,1
"K00018: hprA",4.62468705237301,4.75618782735754,4.6121756421177,5.59156043988126,5.29154532422733,5.22973646617313,1.65921970168004,4.53190956143679,5.42068658187062,4.6642602348894,3.95613820668887,4.45386272805347,2.38443321425093,4.28609735469354,3.00950636583465,5.02364435778253,5.41624528722101,3.38220658059401,3.79422791534106,5.30286370966751,5.71537497066741,4.47727187211344,5.32483472645994,-0.0862065471502724,1.56992520743895,-0.0523599262521332,-5.28708507125346,3.46251536254108,0.464898603098226,0.632242847337691,1,0.813372180741086,1
"K00020: HIBADH; mmsB",2.02500193390665,2.36439927340414,1.94540661364664,3.62870562895016,2.76749935656199,0.030855409658713,1.71748984363639,1.69105610882271,1.64193562042325,2.37080192936099,-0.113963042574397,2.10867135707531,2.49267776323536,4.62313200285117,3.16167582292879,3.43012405240693,2.88835222808108,0.862439476267582,1.34052252253197,1.80061913204128,-0.161141666677274,0.969708411884451,3.21400317807114,-0.522580744220797,1.95255475868547,-0.223831363798249,-5.08433370305893,3.47363677743019,0.416536678879364,0.539843925586285,1,0.57221111898937,1
"K00024: mdh",4.34024382183351,4.21044131851572,4.37147852988574,4.67317191167287,3.02243613054373,4.01844647320824,4.29702179156307,4.37009645329938,4.41967042492133,3.58939415939199,6.48019926419978,5.75655125849939,4.41483733789197,4.07401079354148,5.06792954609219,4.33985140350223,2.24745652301962,5.76973076756497,5.32765624744573,3.07785839195319,2.89371633602171,6.32684385943323,3.95770366526735,0.218601527308482,1.68386003993229,0.114293427926241,-3.03697285605838,5.0771612740814,0.434375013585459,0.706320631737736,1,0.690849772808461,1
"K00027: ME2; sfcA; maeA",4.73379350140822,4.63322626272722,4.73379350140822,5.78499891329464,6.06393947140606,5.89467777856203,1.47605156366989,4.8702729977055,5.87915517687775,4.57519829810882,2.91804697324355,2.53972116762558,0.568158351531337,3.53469777102126,3.56298945063102,5.21009217762393,6.396202786781,3.12301835573522,3.31060920540484,5.91075025695853,6.11415508408313,3.91068878859847,5.26778074661516,-0.424906503591401,2.70620321611232,-0.167498647430883,-6.08307579753954,4.22586191866799,0.393135748140252,0.456319813977009,1,0.463829912830977,1
"K00029: E1.1.1.40; maeB",4.89131775528515,4.7701362961955,4.98711199691043,5.05637125068585,4.1253272439694,4.9480192891758,5.02473729403367,4.85523696379694,4.37850648285821,4.68275177184117,6.48174073449672,6.82494075078283,5.29391295181402,4.70780236531104,4.82317924576374,4.90452820659746,3.7623395878745,6.12502652756556,5.40818500593728,2.91207552131184,3.6460511287142,7.04474928007656,4.57440373575834,0.331479572270106,1.55269270725851,0.223878985117639,-3.73936770021628,5.31163963499951,0.372854941766389,0.439359706175451,1,0.428310007523436,1
"K00030: IDH3",-2.0927525768952,-2.0905488366116,-2.09293782864345,-0.624227651361466,-0.18244540924767,-2.16342517432687,-4.19835064598641,-5.49863532360085,-0.280253921626695,-3.77203278900695,-2.50068670734598,-0.337896710017052,-3.49759609242259,-0.951979599737538,-1.16645460938573,-5.18793316622095,-1.81983252810601,-6.01450973960343,-4.42792355256632,-0.622247298043158,-0.0298204295861346,-5.06204000891626,-2.01668055476677,0.285698499826664,3.61323740235744,0.0829245893011518,-3.24334355318896,4.36875529539326,0.456250008969626,0.645291089686278,1,0.739353864015242,1
"K00031: IDH1; IDH2; icd",5.24207016733568,5.26492421671675,5.16234570882833,5.31171833900331,5.69750348031119,5.58772317208469,2.24710113641934,4.69728105952595,5.01736460363586,4.61369706676928,5.85246258562172,5.36161634577472,3.95490673298989,4.15368941465557,3.40775499365869,5.17857496527376,5.42744969245329,4.23564189385064,5.20706756051676,5.3275927968123,5.3843766894256,5.44882219542666,5.39841305482139,0.0422060287735944,1.15793667306985,0.03691178285757,-5.56059804879604,5.24502084558029,0.480499223929895,0.842391767115157,1,0.855535899375392,1
"K00033: PGD; gnd; gntZ",3.04351231951299,2.84921142627325,3.36569179721521,3.83700682968114,3.381865937753,4.25927340858718,1.86505855376845,2.63547888755115,2.16085278361887,3.02130196542701,5.07893377953066,5.48553833067367,3.35561849279273,2.77762562071959,1.77805597848286,2.97858570550146,0.920066491373646,3.00041261673683,4.16488736356103,1.14998679352199,1.80079067487305,4.32641697533489,3.15877104030013,0.861051077620457,1.71356175590397,0.447623240026334,-1.9627913229102,5.88233980308918,0.295312550027769,0.109965694587137,1,0.141251417409989,1
"K00036: G6PD; zwf",2.41122817680592,2.01646618570645,2.70425879789849,2.90803665121762,1.91953515914271,3.08389281719496,1.35603945870988,2.32656275296685,0.392100800234587,2.53458859175029,4.22302232717811,5.34151660886507,3.24030331245494,2.43812410786347,-0.683278435266645,2.3005676746865,1.65960955572036,3.02519844197145,3.87456855943361,1.29645390858626,0.749915638500925,4.29934370436924,1.30794115661996,0.663699914504568,2.17048170013176,0.307500492369356,-2.34914366048847,5.05337512660441,0.353125032703737,0.307635005510807,1,0.341577286393947,1
"K00040: uxuB",-3.26621806854405,-4.35168472127476,-1.88494979632981,-4.86205052184175,-5.53352862026689,-1.97937460270322,1.58787332108113,-2.26146314987651,-4.95494570450042,0.373550174002475,0.450364310835154,-4.60170604266296,1.20135095949663,-4.12469208066753,-4.24131554172557,-4.95031202426102,-4.54020521553415,0.238474618438362,-4.09033309593016,-4.74288540189712,-5.05762136569488,-5.18651540023935,-5.41378871770378,2.6418898875362,4.63298788895898,0.47039967034153,-2.91564512783553,6.6181540079437,0.28393141113903,0.220432382083285,1,0.160247248397887,1
"K00041: uxaB",5.0952874560258,4.99768337158621,5.18402099435833,5.95009222418325,5.51765603244239,5.57094048725301,2.26022466254008,5.15190548335103,5.71312284777363,5.21745513488426,3.63678714590365,4.69974460441262,3.44185850318535,4.28117952458275,3.70872916033793,4.93887134051623,5.60677074701033,4.00064943303271,3.33503807871913,5.80010208523173,5.92230051555453,5.03293407759529,5.40605080937821,-0.0387099985988772,1.63531266763576,-0.0213849210215191,-4.04444878569805,4.18891264977465,0.485937502863285,0.862957623438667,1,0.937421771823378,1
"K00042: garR; glxR",1.02501243361154,1.0629171328536,1.02333608381489,2.57702842170834,1.26461287886762,-0.920722978128019,1.2466628745994,0.560716105435059,0.525516035052389,1.55031371766105,-0.423234109210918,0.461477163212773,1.75812993761466,2.97053116244336,1.87538189795382,3.38641818630808,2.22800128133132,0.405573819060233,-0.295216751605967,1.79639181745534,-0.978073677010823,-3.20187133877537,-1.57227833614287,-0.117486409081829,2.42539253301534,-0.0514731084678783,-3.1459292537495,4.465775923519,0.479687504139417,0.797376825525093,1,0.850418508059278,1
"K00046: idnO",5.51201691384279,5.40931234036749,5.83163886118115,6.11218499742248,5.22069656001499,5.82545158747629,5.18031724844665,5.96514308607391,6.26332543748525,4.99695886743202,7.05378777799667,5.83498966620241,4.71180099430692,4.52224792809247,6.172882391165,5.57353452437074,5.19164853967919,6.10572437254865,5.2967846166022,4.86352909977086,5.24448732605725,6.53160688049235,5.4435010499025,0.160803796308093,1.01046611058128,0.174765722900852,-2.46451729628822,4.47999713989604,0.45000001027527,0.478644510413768,1,0.655084019598822,1
"K00048: fucO",2.32793532236275,2.52175221068655,2.12576785001415,2.31634331461311,0.660788365304763,0.974945177063201,1.34346911952957,0.14964751977927,1.89986414154813,2.58258693321489,3.57228005206526,4.54564340358768,2.82534814884885,2.60698489475457,1.86798471051105,2.39613764955383,0.650402675414231,3.5899086897843,3.50404632443466,1.22043920821146,1.00495642191838,4.86005506730035,3.87908971550787,-0.566553576541052,2.07912734599683,-0.258404877589712,-5.20161820385149,3.50337256331859,0.382215313903708,0.469367082213642,1,0.452099830316742,1
"K00052: leuB; IMDH",5.0959235398886,5.0569388043221,5.27088085925429,5.79882876993642,5.88798233560163,5.86453091974275,2.2787611693923,4.82391093614331,5.7290300475456,4.7943831265923,5.51473307540458,5.02699659874645,3.16963630254466,3.30280112138878,3.66513172743546,4.8972987784885,6.25884564363185,4.22139222568804,5.17058416468818,5.89027331458221,6.01764186864642,4.96478900704596,5.4723463791321,-0.0804662740594564,1.57426016661516,-0.042391210644153,-5.67468450622201,3.35647042084875,0.468750006382756,0.850543684968676,1,0.835296620948711,1
"K00053: ilvC",5.88394477047392,6.02058258617594,5.65590906923039,5.86547165198284,6.56058978611027,6.47785049621384,3.1341159739216,5.14197598369287,6.31758534833137,5.17082390682044,5.94217822027781,5.40326687741914,3.69975399642876,5.92522803743007,6.59365315500262,6.10621671404133,6.70449686610382,3.76689736560182,5.14420223739744,6.25408340114461,6.62604492517766,5.00785170979223,5.80702083149131,-0.29458336253736,1.4451611187573,-0.189012178877816,-5.30325381420191,3.48916439113692,0.381250025603948,0.379972183088298,1,0.36422599266059,1
"K00054: mvaA",-5.12395565695637,-5.1021849172791,-5.15166966733347,-5.09579636591197,-5.71128761883959,-4.89450527973876,-4.23670327729106,-5.4593131819761,-5.1473667687882,-6.37382670820498,-4.80803516020761,-4.55936943355055,-7.04500071217146,-4.96572295049891,-4.58812117018708,-5.31306045405705,-4.46085631385473,-6.02401462264384,-4.85405900294758,-4.82684032751537,-4.81810430263159,-5.1677551112006,-5.49701698002883,-0.309407754062175,4.24985270332108,-0.0551830035612761,-4.32627547899633,4.17789880615379,0.464062507349464,0.670762211775095,1,0.668041988487519,1
"K00055: E1.1.1.90",-4.80999709382491,-4.84957169361581,-4.79020503204839,-4.91302672006051,-5.25236946375604,-5.37390176538527,-4.44465044140239,-4.89789434746022,-4.77774858161794,-5.95182132759293,-4.67020107950949,-1.57743683231676,-6.66955658557099,-4.16300335225819,-4.42024897446679,-5.01997648592996,-4.07405710071158,-6.68935110059974,-4.8788291958817,-4.39631268004074,-4.86496593023539,-5.70403126005398,-5.34596202809603,-0.0575115591198418,4.3886817056194,-0.0137016612819902,-3.63813094435793,4.21583329698638,0.493750001271763,0.749263740978639,1,0.747574165385698,1
"K00057: gpsA",5.18626896687619,5.0891463863452,5.27423438071048,5.51234329554763,5.47317444185248,5.22869608326421,2.83238223775533,4.91342082885406,5.33562426809717,4.69739983740603,5.42966459807473,5.67251451726818,4.1740506813591,4.28376559158718,3.41745346338943,4.94406385528315,5.29483645312559,4.08007595675654,4.91723133004538,5.20571453721196,5.42739598053555,5.38082775872537,6.3009462826703,0.111268780579131,1.13640585006174,0.0943573485137503,-4.66441587802424,4.29643038487552,0.43281251392068,0.957226540622262,1,0.694710608180519,1
"K00058: serA; PHGDH",4.25154008239495,4.42616290191545,3.77512668898457,4.92388081021332,4.51761494583144,3.59902328536612,2.03013387820469,3.30879162701639,3.9837575921894,2.08837702337962,5.31617092528696,4.02115534381345,2.51054656554204,4.82278102213726,4.5148078114013,5.7424631955901,4.29511335430105,2.89086118447335,4.48757405089263,4.35255285881858,4.30737578233682,3.86518672372367,4.86319737037175,-0.736495371681969,1.42023895287916,-0.528750485003034,-6.19519355084351,2.19647681769607,0.291731720374187,0.0936870971265227,1,0.111351424310983,1
"K00059: fabG; OAR1",6.60846597496554,6.48017368266062,6.82300926747751,7.00610977925046,7.014122341134,7.12200324262403,5.35454733853826,6.64195706502611,7.13291606157771,6.00682254627903,7.11622263509555,6.02981673885576,4.84171889724454,5.94169222599556,6.14895736645201,6.08040133625927,7.23844465955371,6.39699344947334,6.03130868842947,6.58269420279629,7.04294625946944,6.86986899296047,6.68024027620818,0.0423153903849212,1.00248170167223,0.0308574285168153,-6.19670171401623,4.97004669760769,0.48281250350094,0.814516806988666,1,0.848356159610513,1
"K00060: tdh",1.53348519386944,1.88524224021163,0.886781980747715,2.01702384393156,1.63121533019749,1.26884404891208,-0.243215101035893,0.162859999751445,-1.28641072884653,0.0176419725256718,3.51891938812974,0.298311547940221,1.2095188841032,-0.310250006270705,2.03738526840913,1.39776937221524,1.80824712790097,1.65465895190895,3.30399715812144,1.27158984970784,2.52155082696984,2.00370919846397,2.97961393920176,-1.17603436228474,1.76909433221618,-0.597019005450441,-7.21649875315036,2.62905941155822,0.264062561751485,0.105093742109021,1,0.078073496259932,1
"K00065: kduD",-2.30770326007552,-2.60968087894374,-2.03564022257452,-1.03467419515044,-5.02557828997723,-3.05683768334234,-0.84574700974555,-1.67062836264317,-1.61045167118314,-3.42533041595227,-2.31661376802024,-4.94674321142729,-0.653404092611351,0.467246016881496,-4.35650918484961,-1.86125474025031,-4.14119652033592,-6.10683021023134,-4.02379406539766,-2.56074076310992,-1.05000729435735,-2.16983755864436,-2.87779390883611,0.504084606806769,3.26019988159127,0.111481926423902,-4.29386743331198,5.50430466102941,0.435937513251067,0.628364888924421,1,0.648375002029704,1
"K00067: rfbD; rmlD",5.64419557231471,5.51948949567908,5.74462687265233,5.9007136078785,5.37165526010481,5.73514808771048,4.73095847792178,5.7571356362317,5.93319712416022,5.22724132643194,6.77038278249208,6.24024134095127,4.60924869963935,5.18783499856579,5.95249932759402,5.50962508354549,5.94278104078471,6.22893211351016,5.18118527894187,5.37297692731488,5.46508412486061,6.79888301406412,5.46304542378938,-0.041021393865476,0.852589765709172,-0.0495297412180731,-4.60159827582199,3.36917466247416,0.478125004459011,0.759427472406878,1,0.833594460396415,1
"K00068: srlD",-1.19875318931958,-1.39214735023887,-0.905768731455451,-1.01935252739193,0.214344786288457,0.706604663968632,-0.0275551971112682,-5.65773360904569,-1.38323888021195,-6.13373941729287,-1.49796647156639,-2.63605242505381,-0.317607277384689,-0.470118740714712,-4.24434751306538,0.287928015721056,-4.776651207769,-1.19234853795079,-0.256767514260547,-1.57026545295649,-1.34136295050808,-2.15647509798519,-1.65262446627931,0.401635456577834,2.99112097638514,0.102242023950002,-4.87408549282395,5.35255764947036,0.430577237445748,0.819695922989704,1,0.688064934291715,1
