"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00003: hom",5.49577705319295,5.80170337371022,5.05213638860722,5.29613193942413,5.96136841895562,6.43482963673493,1.84058260345019,4.90029744320816,5.96381725017651,5.94259558903988,6.12868870806309,5.66403193995798,4.79863004324222,6.05775323325473,6.55194046039866,6.14758406717294,2.19656273182071,4.97591444350468,6.12786549971433,5.03019732742033,5.01496100927359,3.55014308543795,2.07346993434274,-0.224514024257791,1.68089343056806,-0.0955492103073044,-9.28089541510975,3.89897993318586,0.450858044385367,0.453072020579469,1,0.773330940537791,1
"K00004: BDH; butB",-5.07570843107118,-4.72878037844597,-5.34338999036597,-4.00102876212405,-4.75968151334999,-5.55512109661807,-9.46973316063159,-4.75164613322701,-1.735795808487,-4.43962518759836,-5.30717862299319,-4.56198944952398,-4.46748342278354,-4.8967345668242,-5.25291070139317,-4.58558834987913,-6.94105629190717,-4.9106204388259,-5.46356595023781,-5.96272454230766,-4.33608435268845,-5.19016103392244,-6.38955289716069,-0.640325739099781,4.61152289479285,-0.130558835746415,-3.63264131582555,3.60625949180872,0.432137299513371,0.671407831399152,1,0.656941621652341,1
"K00005: gldA",-0.651893660211732,-1.0977137507659,-0.087643145170345,-0.820755404357721,-0.529116528579975,-1.56333318375769,3.14269558228365,-3.98990916874969,-4.21787152089993,-1.27681588137609,-1.74663105511822,-0.133269990871515,-0.936938583487247,-1.6028822101144,-0.436858667131608,-0.891539732363862,1.09314625840479,0.579422756074724,2.03848823020093,-0.0437417990644544,-4.81903685494261,-0.741997327365482,0.489018334223246,0.979468723017883,2.9334594708974,0.283854996417208,-4.34316384075191,6.33111562179918,0.340093639870762,0.477531397731507,1,0.243521945836671,1
"K00008: SORD; gutB",1.65747455715847,2.01255726951637,1.54030949650946,-0.211761843008471,2.35156024241184,3.1451759888445,0.598243501706219,-4.89525387179757,2.9491880650286,1.71687237447255,1.39642805358747,2.2854919512515,3.66411248109272,0.0631854765988891,2.53820762202556,3.1657585098779,1.45728302493974,1.70769777825147,1.48879789692193,1.4569171509229,1.24231396489492,2.08435346756756,0.935916670795845,-0.281890388962352,1.76961495649789,-0.101086671428862,-3.70216786818102,7.32041799229772,0.442187511921351,0.725574149448397,1,0.695410771504038,1
"K00009: mtlD",1.27541349323904,1.99293999252018,0.85224911650307,-4.56588606633566,1.23501765882542,1.83220309771358,2.59912694857875,1.18127916690165,4.38146176360735,2.52903218740369,0.447078293830037,3.25597021122512,2.13875832552449,1.6672619118452,2.89682714514354,2.53741642343238,0.807342561941089,0.582967651718084,0.218906446956627,0.998875799065377,0.847443483303648,0.331544262825847,0.386140600712959,-0.903177574271977,1.94607041406659,-0.352437695930373,-5.16575995697237,5.34153172533178,0.312500044389148,0.638430567117029,1,0.192560221318929,1
"K00010: iolG",0.688650321753878,0.90578505266007,0.188992075858511,0.202328531115697,1.11693928010473,1.91807787651607,-4.03063569242316,0.287252677856685,3.16954237137974,0.291394379518991,0.659419231973187,3.20399148738588,1.15194412892641,1.60840686669535,1.60661432300034,1.23887160881829,-0.941240709114629,-1.23284752881658,-4.44634411884632,0.677218863029341,-1.35225027171402,-1.30535984435069,0.912394201451834,-1.25179290544961,2.61503238286759,-0.37167295407722,-5.724589674296,2.91319846046522,0.343213763815575,0.247761708542177,1,0.253749201649744,1
"K00012: UGDH; ugd",3.71757373742582,4.14717782219056,3.4565538672328,4.2211498932698,4.85441925312013,3.53260109591899,0.458446092605472,5.20556602736581,2.7687657627682,4.34740466803822,4.4481836460717,4.11402808564027,3.87606222352896,3.78255988354931,3.58638144169961,3.6015668104065,2.22643405047211,3.11826219097463,2.97504611385516,2.94538363516773,5.2789353689882,5.25246054178763,3.44054317328416,-0.551817767379856,1.53086143998622,-0.288283052820674,-5.41149437786135,4.51086015334876,0.370312528288052,0.758700631213189,1,0.351186751039209,1
"K00013: hisD",5.49666106466735,5.61389727935737,5.26258980574736,5.5280577347059,6.16005762559262,6.26496522940571,2.53671540546274,4.84259834964298,5.70847820308951,5.74625593197416,5.80522499289741,5.25943852759531,3.97261286015585,5.96341577908151,6.11647176635028,5.77679604831613,2.57819954229555,4.99124447360129,5.90801418940872,5.0560552381663,5.46092921870668,4.90837505547119,3.09583574247246,-0.0907369317739697,1.54605577768458,-0.0522051258680592,-6.29670653152977,4.93294749249698,0.466458665179807,0.718297428643996,1,0.739553367008379,1
"K00014: aroE",5.43960275158734,5.30440404485147,5.5681917141259,4.90294660452141,5.70456500938872,5.65724214124165,2.40699089907044,5.01998052536394,5.52903608261809,5.37248118041819,5.85109785824321,5.24184847384086,4.74317892084282,5.62931211746738,5.65192229706389,5.90518234490617,3.4766632329847,4.86453522905473,5.59125953692407,4.68611284610488,5.93256445413711,5.6413264459173,4.08268774742255,0.0665214728284083,1.06070367873582,0.0531861643064495,-5.7147414336062,7.18702729442417,0.468018727261793,0.800801447446802,1,0.697197418487086,1
"K00016: LDH; ldh",4.56804895930727,4.90212453795969,4.34988876896235,4.98096697392775,4.82970340378421,6.02596602073559,0.311073220894625,4.40714030044218,5.79795844004671,6.16153730527913,3.57682366749115,5.26771351694212,4.23362485550037,4.12045811367108,4.52417980367175,4.57537666011986,1.49586489786399,5.08469675061077,4.86151240468923,4.18631717486646,2.61972634966859,5.50746421012131,3.5970423463755,-0.640707495031048,1.7407435558246,-0.323857786608343,-6.68778463365826,5.43977716588671,0.336973515936782,0.457711833924088,1,0.232741511101128,1
"K00018: hprA",4.89290852513477,5.06411079642803,4.82047450226096,4.92461710037509,5.26430173299149,5.88872777647778,1.54311311366429,2.82259184281988,5.21871155367789,5.23784755915399,5.20578105925339,4.06198182411115,3.35325126044385,5.77873012935939,5.44541169282211,5.41379613838732,1.90947885407225,4.73081332658686,5.59845761706048,4.86883859137668,4.13908689213601,4.63380767268456,2.59372994216073,0.140741001134635,2.01009497955816,0.0808668609712466,-5.57612838696634,7.43206024727882,0.467187506704589,0.789068045585996,1,0.734971310133365,1
"K00020: HIBADH; mmsB",2.0779729125131,1.99772507040754,2.14710632810157,0.577584818523903,1.98901535827712,3.52502337997835,3.50293382695355,1.87100007382663,1.64290913533447,0.704661563401952,0.326698942137357,2.98805798592459,2.78423817133571,3.8137998417128,2.96591096634171,0.236191929533977,1.97393640643515,1.91013161643178,1.80353071081334,2.61957837095929,0.00778169415711538,2.28421003227584,2.75192595881533,0.0503572703032509,1.90665891085438,0.027441466124851,-3.32822593384999,3.76346354585136,0.48750000254472,0.898244230768291,1,0.866625948548356,1
"K00024: mdh",4.48678139768773,3.70448297450045,4.59095928032763,3.25782473710336,4.4762103610288,2.50661766251366,0.549403829636216,5.18009857147682,3.51260688710805,3.80923301976274,5.23560079678513,3.49341529204599,5.58215611298285,4.85556138305897,3.17707388006257,4.22592626558692,4.55506089910917,4.57018599379831,4.60211422873485,3.80457806184459,6.64692753883729,5.91804219248472,4.65951384606848,0.869345892251707,1.83705729659227,0.415257749339332,-2.13053930492803,7.30424276139903,0.320312541979086,0.123316605855737,1,0.168353040631969,1
"K00027: ME2; sfcA; maeA",5.10503452734508,5.31134110386508,4.9031896345422,4.94311369616429,6.1356363748012,6.52383751822828,1.84247036028847,2.43520095866378,5.61057931102136,5.48393593787977,5.57584228951829,5.14456125647953,3.86573842041262,5.96751417688144,6.24803109916894,6.07618742543169,1.76146761836735,5.05378263063573,6.05165077939199,4.78562334723767,3.14575036123978,2.76366858170895,0.852690471984237,-0.224063628183751,2.93158896488335,-0.0853733911040371,-4.82481521269188,4.48228757066554,0.44843751060317,0.555621214212522,1,0.716727484493061,1
"K00029: E1.1.1.40; maeB",5.11443498558473,5.04290178432618,5.19184439040494,5.13793867591649,5.12773337478474,3.87553937364903,3.6857130124295,6.01984019980582,5.00121978288912,4.46696756538694,5.47611181595413,4.81335054630051,5.48271704625077,5.24720443035922,4.30362888212763,5.12384648489997,5.29514907002654,5.05737524779638,4.56114485474703,4.89575843914924,6.65124644445509,6.98301541500631,5.53183312970363,0.306904302890492,1.15555786431502,0.248912921131477,-2.37358217435522,5.72839152557652,0.384375024852996,0.221098273860172,1,0.38086516811362,1
"K00030: IDH3",-1.98035791868529,-2.17255970289353,-1.83497325786816,1.07084611727273,-1.52627148417293,-1.30829594455642,-6.72932203792209,-4.12917184755743,-0.641593666813792,-0.582950679702895,-5.51400290148211,-4.41645513244298,-4.75948477358946,-0.557303868428054,-0.0914246617314607,-1.85393293254501,-3.96359326875302,-5.1417677548997,-0.101443697304621,-3.25148542866461,-2.28455020649344,-0.195428383018987,-3.34926131681999,0.548665032844487,3.92670719755205,0.124998263572884,-3.04500344129843,5.28410920879217,0.436817485721281,0.526398184891556,1,0.592479912695664,1
"K00031: IDH1; IDH2; icd",5.44012951112884,5.55015870570601,5.33206281256417,4.88817091081014,5.6968035384947,6.10625434332547,2.39486589843668,5.45185650295115,5.07802537291061,5.7230730744244,5.6215984399691,5.74910635047968,4.14651016174049,5.46964240423213,5.87054946922673,5.76522752882381,2.52750929633354,4.89237665650126,5.20900471430983,4.8263597885712,6.06183596257754,5.5146651079899,4.15981199336708,-0.0556045520525368,1.22227001118443,-0.0490057832228002,-5.98671611302195,7.12365661529816,0.471138851426896,0.905588484893484,1,0.837681184914157,1
"K00033: PGD; gnd; gntZ",3.27067114610765,3.00820006456604,3.57197375002581,3.13713086721414,2.03189070690376,0.496682203766424,1.33123681124315,4.47157751235932,3.56865435124906,2.13711998181376,3.22885191064625,3.70118852121729,2.9725096610706,4.05512613649568,3.52591881566368,4.44946911646314,2.10364961081909,2.84694078100706,2.40050375589101,3.20774909356933,5.20654346942886,5.66229985699377,3.60114619373358,0.893167048993284,1.72406221219964,0.512232527469485,-1.67013942557697,5.69437694967236,0.271875058613249,0.0817625633143823,1,0.112323229692135,1
"K00036: G6PD; zwf",2.37371961359704,1.74798216314917,2.92533375317934,2.27393183290541,1.07920000250737,0.777501886170398,1.65696239778318,4.0139298926029,1.17768111394151,1.95102863487486,2.63177856901332,2.48843925038973,1.44675925739573,3.10216016264829,2.12312874321709,3.29859373273375,1.60819640878656,2.48403694206046,0.63231703807954,2.77618181523974,4.39517223454982,5.52910350206264,3.47318376096985,0.982009353513546,1.76493618927444,0.526068507589018,-2.07603531256693,5.23842345535302,0.275000057399744,0.0907441624592349,1,0.0704145771991167,1
"K00040: uxuB",-2.84612657980066,-3.81777650148784,-1.70707866621334,-3.63575826246671,-2.00312525730882,-4.92670597287608,3.94719605672495,-4.50087258833329,-4.17182316797206,-4.81115118554372,-5.16728765649842,-4.19931876570235,-4.44186311281101,-5.62133458680019,-4.94068500300227,-1.82035975077715,1.84402643309038,-2.05618861205794,-4.45837702570432,0.519350697319043,0.728798304100392,-4.84553975792355,1.41019308957088,2.27045444528923,5.32155078748302,0.373673954433707,-2.77217599259302,5.03063627140327,0.335413453973971,0.375607369835857,1,0.274410404804174,1
"K00041: uxaB",5.09771319040982,4.6813079010364,5.37861313457721,3.97590940497949,5.35555270942182,6.29968727803457,2.79247208251669,3.39734786601704,5.13752693324902,5.04691991173449,5.75367687156486,3.54151964343298,3.27877746714355,6.1240456387838,5.70397068038011,5.74985067348609,2.50561995575411,5.34247200063679,5.89008258722279,5.42485765869959,3.88200163683099,4.85714197485038,3.68933239918698,0.502599387687728,1.91366007333925,0.269511416003151,-3.92989664520685,6.21192370662803,0.356250031881158,0.405777797306284,1,0.325340668909264,1
"K00042: garR; glxR",1.22461755265585,1.24769542845783,1.19353457915844,-0.157007294320783,1.16593681502344,3.09725362309872,3.14331627156163,1.18211701474981,1.0303919861556,0.568917683237139,-0.00576715628415059,1.79503007402888,1.5893943297958,2.75223091604494,1.4162039448808,-0.569228037897728,1.44309786187027,0.737711536572554,0.696553421442424,1.73993895324905,-0.52499181547334,0.639288557401438,1.96306597339097,-0.200275803201231,1.69507200443658,-0.111891958604902,-3.95889430776656,2.65394456587233,0.454687509295184,0.597933324342114,1,0.72308688554093,1
