"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00003: hom",5.09743590601094,5.19941022134446,4.96213004311827,4.95225096322408,6.02517875961299,4.26232072718026,3.42491257945709,5.28165751816258,5.22657296820762,4.50001003232821,5.89257845121827,5.19033717197779,5.89772875342004,5.98447269065012,6.45060780762496,6.03715396100207,2.08056500487057,4.88038903004699,6.02308746737418,4.94380854087433,4.92292211503564,3.45445642231851,1.98681757963623,-0.0057856821292166,1.6284338130433,-0.00285973804169408,-6.45136413122449,5.38081467992811,0.497659906870875,0.516469649477969,1,0.918591446285912,1
"K00005: gldA",-0.810479556017466,-1.38769264337484,-0.187477272787639,-0.977792647344346,-4.31887439482396,0.0258467744281923,0.640281022519057,-1.46679990473109,-1.29860604493362,-0.555553458015282,-4.88378342243104,-2.00921383378829,-4.69516365653744,-2.03633068304757,-0.547370410476955,-0.961805077803522,0.994941766941435,0.429753839594575,1.95735572775178,-0.196817033027607,-4.50584020759457,-0.798028033916566,0.354752890993568,1.2319941005772,2.88602172145448,0.367177268567149,-2.75127036188521,7.17571354342536,0.289062552207008,0.219105277776802,1,0.122987717584273,1
"K00008: SORD; gutB",1.51942603781431,1.66798893747661,1.42110039553591,1.38273271241749,2.60790951483755,2.4601086351304,0.69707739138371,-0.9232201970879,2.42345752698663,0.225351757293225,1.77767269114608,1.50593264271554,4.46863003014712,0.0860962543949917,2.45041431209398,3.0502952589356,1.31013785189537,1.65474926081527,1.32801315333828,1.36641369741368,1.16361681065486,1.95442328735916,0.830618123737629,-0.189015147916297,1.68898059324765,-0.10746605745325,-4.19683944132507,3.56674336871771,0.457098292697049,0.793634497680979,1,0.776880131768387,1
"K00009: mtlD",0.917249031186428,1.1913355049022,0.730008813383929,1.17957812653651,1.40129521426465,1.95372338184376,0.492948150390998,0.483845875890664,1.56799113829237,-0.409675181494842,2.17912387542998,0.564899182342245,1.51386259881426,1.53621356712596,2.75862598709548,2.43068135467769,0.67486857986794,0.494101380172426,0.153557158328796,0.877249004676778,0.714238937382573,0.233620962193022,0.256356169355301,-0.245559698986906,1.31717719795499,-0.162089555006374,-3.49725835663041,3.86788340234076,0.43281251392068,0.792011108559913,1,0.671233275238693,1
"K00010: iolG",-0.0679974785796258,-0.0846276062569356,0.00957396089202511,2.1220792341326,1.13524954255737,0.0231789559294295,-0.510408810212835,-1.61768975484603,-0.543152356497936,-1.13445855219761,0.211325680052234,2.04520422711727,-0.13273651836286,1.51202342781019,1.51290954846887,1.09233476607979,-1.1154141468684,-1.08206739679053,-4.46097232601575,0.628949745353645,-1.37848629844197,-1.81393979355438,0.759957661440458,-0.380546429846387,2.42024022061121,-0.134883525621525,-5.60104637552302,3.21914838810708,0.451562509947986,0.476296642938807,1,0.645588556663924,1
"K00012: UGDH; ugd",3.39279559578414,3.46991733594377,3.36738746368778,3.79648622906847,3.00720197435136,3.74988659770964,1.15809051749017,3.79483918929388,3.11316815873338,3.04832010338504,3.24788325991955,3.9812543320136,4.33181862008296,3.69655132316241,3.48907511648394,3.49816531898683,2.07514368650383,3.03801557232479,2.83846836207418,2.8093347908816,5.1891293352509,5.14717745397133,3.35048703440926,-0.0478312602610718,1.34366712557019,-0.03192797288394,-3.85039048717431,6.32803209118012,0.484375003182019,0.657415126601422,1,0.861129763715387,1
"K00013: hisD",5.1305714698622,5.1273176588377,5.15218137241263,5.07636006172557,5.64984170500097,3.84441757741457,3.39701054343047,5.18100586646084,4.48735098437129,4.45548075216679,5.49098902138525,5.37205118573183,5.61687694277584,5.8948567009445,6.02606461649739,5.67545529975829,2.44036657429169,4.89734175821129,5.84056674430115,4.97266284168799,5.39289564599687,4.81391070472694,3.00980553255008,0.281154983307855,1.19700062428598,0.169397378087818,-6.11812388717901,5.88370443123076,0.407176306549622,0.927566483256204,1,0.521748447952976,1
"K00014: aroE",5.35017006673844,5.27406437795412,5.48363286717387,6.02358736874182,5.41787475702997,5.2412782042092,3.63258538535905,6.13160972739082,4.98612690828176,5.32201990210879,5.43746291807569,5.11411690096221,4.99116542581014,5.53587351230625,5.55774756972906,5.82298454988699,3.36271776780029,4.73490820583261,5.49739763040744,4.58161163231701,5.88334362584208,5.57372725213627,3.96031642776387,-0.0394619850679083,1.12218603888245,-0.0281916290779591,-7.80901442865336,3.748741349662,0.490625001908018,0.611152532143039,1,0.951822268288987,1
"K00016: LDH; ldh",4.34219127523544,4.40600767078804,4.25301585487441,4.63168942713688,4.70439356478118,4.37455657043062,1.1638413424652,3.47880447684421,3.85017706706403,3.82367459412148,4.42816714482117,5.1214178701397,6.71072630890197,4.02458577893355,4.4471501104959,4.46060161716155,1.36331016202176,4.9853818631646,4.803971024102,4.06802129558935,2.52518176331132,5.42666042515319,3.45825675458981,-0.12776529168888,1.85393916176206,-0.0689116882898508,-5.16708725792808,4.4123464835066,0.475000005099006,0.655605704853033,1,0.826535234309035,1
"K00018: hprA",4.66023983966426,4.52707302249085,4.73244783307582,4.64026383801252,5.59945313247991,3.77015797412506,2.98385017605193,5.19149309905964,3.91190574856634,3.91351031968229,5.33879193880266,4.40953292274231,4.96589439828131,5.68400897759622,5.36963675433386,5.29807477367447,1.78917347499148,4.62894505761281,5.50681299147241,4.76935353014546,4.05887146520108,4.59362554989141,2.47791624901977,0.16454143204809,1.41727740913538,0.0914229762182462,-5.41178691094626,3.31934513636096,0.446875010931708,0.910583437976561,1,0.657670285403451,1
