"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH- VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K00003: hom",5.42750923771221,5.8183578112572,5.32315855861291,5.06090405313122,6.12708096207127,4.36416403208356,3.58598526953501,5.4181901927835,5.38248160141078,4.61863956754135,6.00449181824032,5.30876708943384,6.00036882904802,5.28897803752095,5.95998684170832,6.44958402091078,1.87475580865217,4.89041182077266,5.97956009619237,5.98414950399516,6.14128426371025,5.67277811431519,4.79510785682363,-0.321062221279517,1.19048565118651,-0.202542963740443,-6.99375588863718,4.47514275071531,0.389062523738901,0.810984227339514,1,0.404560609668969,1
"K00004: BDH; butB",-5.02065269087315,-4.80547943254014,-5.22205731520996,-5.0990341258936,-4.6075865052963,-4.68625206733308,-6.91852591560281,-5.90458589658689,-5.24310900226091,-5.86593745750179,-4.85866953179324,-5.03960423957544,-4.40633924024897,-4.07382490119881,-5.50745157262433,-4.95375686661271,-9.1652504377772,-4.46303239842802,-1.81952686855518,-4.80493756836815,-5.17242616999574,-4.3307054649156,-4.81158687689535,-0.394483702240132,4.45361011652178,-0.0767477083685587,-4.50403655939687,3.60174991018161,0.459375008320096,0.673438194427636,0.995753521649841,0.65548226444608,0.999456328997763
"K00005: gldA",-1.24244391993658,-1.0540268753243,-1.37378218580577,-1.10847761491651,-4.66233066968877,0.167678688599509,0.74268615206077,-1.39327972143735,-1.24859391667219,-0.562875286957725,-5.04179049134279,-1.8495685866381,-5.15638256821557,-0.794643929554706,-0.467521871616036,-1.60710248318448,3.18247833785732,-4.59184423455159,-4.54993570513052,-1.04427605143518,-1.88015149406834,-0.136766517638167,-0.932313103119442,-0.472939750181649,3.88329680813394,-0.105787290255025,-5.66016222745263,4.4087580541941,0.435257423651159,0.580711407428604,1,0.656357151459222,1
"K00008: SORD; gutB",1.88711346464266,2.03429106317664,1.79374176415888,1.46287996703344,2.69177067293753,2.58488033667098,0.876950613546023,-0.961046850127442,2.51072445949198,0.371782112888528,1.89867198637494,1.56043626748956,4.5776788034313,-0.154071737137281,2.39634728920269,3.20505412490433,0.652582927211057,-4.40604326787459,2.97176284687226,1.77966938734347,1.36510561585551,2.30816364645393,3.70699061408495,-0.069089160456576,2.36770269045458,-0.0115496037258659,-3.29747759245919,6.60888056969827,0.489859596441259,0.682688036700519,1,0.870903972672065,1
"K00009: mtlD",1.57171526543346,2.07320982760911,1.27680150411039,1.24062005099992,1.55627768798663,2.05453035046683,0.713898780246816,0.704193051597054,1.61581968476493,-0.280107978005361,2.25122019841732,0.758310185816063,1.67523282053592,-4.03412047482119,1.2103021430929,1.92061323816977,2.6319205100311,1.27917822326014,4.36699182998926,2.53513830098949,0.311541839521389,3.25363668186447,2.21969746214793,-0.735713698360704,1.75431846461604,-0.275081883551869,-5.68655953101659,4.83545702303212,0.319812834510979,0.662801152315988,1,0.197210357850354,1
"K00010: iolG",0.587803019304152,0.975593292375653,0.0159585780352955,2.22660190188036,1.2594284811135,0.125615877551668,-0.354522982390412,-1.2432667361465,-0.39336389524412,-0.994113822550153,0.362955685218198,2.19703841148673,-0.118148681155098,0.325796827713191,1.13995447869886,1.95705350972596,-4.02936649033326,0.242979318065803,3.1430035705434,0.246454034576585,0.768216097684538,3.22599825860538,1.16746152961518,-0.814404803150642,2.24088042356019,-0.301173474990828,-6.13480586175761,3.94559227333152,0.346333887770854,0.528345034805756,1,0.261862520702981,1
"K00012: UGDH; ugd",3.89360074793216,4.18062031433038,3.58122136129167,3.917201869903,3.13161940022388,3.85150518806625,1.31713159843148,3.93412379076616,3.18576236638491,3.18889740523719,3.34693997429348,4.11414681503216,4.47932688926689,4.25975244129689,4.85791750125528,3.52938487464267,0.519135868548304,5.21770796248171,2.71712908543349,4.36276234542475,4.47759141777662,4.15252212497668,3.90111691971487,-0.516343643246361,1.30161160833454,-0.324698034039943,-6.21357951805163,4.67284018153558,0.310937544881972,0.505144156696722,1,0.171318438237459,1
"K00013: hisD",5.38831179150431,5.62884505082751,5.24835817098372,5.19164722675013,5.75776349062741,3.93395346915,3.56416242348008,5.31216534378991,4.62983193174705,4.580127789631,5.62245746942923,5.4722759517406,5.73867232652478,5.56781132836718,6.16978808356879,6.28686524434787,2.57786078831985,4.84043766630886,5.73614002793573,5.77638223714592,5.80631891134116,5.27002029502043,3.96487088508293,-0.352994040736356,1.28434527099874,-0.237632665978838,-5.38490009792768,4.64916087894704,0.362500030263061,0.621885413759555,1,0.252758114080192,1
"K00014: aroE",5.35643304072789,5.29581726174864,5.388954344534,6.13243718352957,5.4854878599458,5.35455258809514,3.78065745301361,6.26610616351681,5.10204890280045,5.43250963224675,5.53530469321887,5.23824149761383,5.10932283267562,4.92329275261435,5.71913610913643,5.69818837914641,2.44706882584397,5.02669048694446,5.5605454317847,5.38405757138346,5.87489635157388,5.23333133193734,4.77638464604796,0.141049912170155,0.891537727677468,0.124729400130942,-4.34026294630161,8.78416191015862,0.432137299513371,0.46827418626428,1,0.642739275043842,1
"K00016: LDH; ldh",4.64689968482243,4.92111973749585,4.52075786845014,4.72825514888031,4.77384472045643,4.48763909864955,1.29543013491559,3.59163005377204,3.93588893512292,3.94032820926789,4.5393473028302,5.23805150893468,6.79988372058192,5.01374229460772,4.857018399586,6.04634677199478,0.33360100724795,4.44750884025926,5.7936211699397,6.19076164799214,3.5825049907619,5.2822068965626,4.2503262773718,-0.486825257605059,1.84527101722326,-0.21233332794755,-6.16828407824671,5.03582696242514,0.384375024852996,0.730742688521431,1,0.381255716999719,1
