"","rab.all","rab.win.BSH+ LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Halobiforma; s__Halobiforma nitratireducens",14.3724095153446,13.8026919336139,14.4252834124543,14.4483935882604,14.3606426630635,17.9405277034865,12.7847463491433,15.6665893040111,9.27160312229132,17.3243695783422,14.304229325472,14.3782744627297,14.836213484384,15.1054121350938,9.78716936037516,13.4441868156631,9.53187149232939,14.9903071354044,11.4380135079584,12.0740290208766,14.1153782001121,17.1104383677742,15.3958638574149,0.887333571659338,3.57798746963472,0.268356800431365,-2.88339640964616,11.8965137079394,0.368750028679017,0.277447464723198,1,0.352702347961636,1
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Natronorubrum; s__Natronorubrum sulfidifaciens",14.3635830643062,13.7856666123973,14.4157828102104,14.4374960517611,14.3545282714789,17.9298817836121,12.7687694165202,15.6558919656908,9.27050310664041,17.3156781986105,14.2960935314188,14.3644959374438,14.8220740952693,15.0961574692093,9.75756668679371,13.4355178440777,9.52383358669275,14.9838245898529,11.4320498475614,12.0592595869364,14.1066599401474,17.1034909935259,15.3889617668336,0.940870082143785,3.60396786140227,0.348873562224855,-2.58669172258587,7.17186672526709,0.363494569696814,0.277506764995792,1,0.352681374353201,1
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__Methanosarcina mazei",-1.33314621650418,-1.93630739805731,-0.543662880868483,-2.57598038976428,-3.14873952240555,-0.260891503609281,1.83882805244136,0.757610532084355,-2.27758046913184,-0.390684702172964,-2.16086328988994,-2.47491634599268,2.41698904232061,-3.11086174312,0.152747037516068,-2.16626042029721,-1.56525325191619,-0.346326029211196,-1.87522436699096,-2.66412058083607,-2.71930112720793,-2.89026672543223,-2.93554876939022,1.46836372801169,4.29045558944721,0.307558134468621,-2.90916373729662,5.19268443215239,0.346875034377566,0.396123982040198,1,0.368855832151595,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__DTU008; s__DTU008 sp001421185",7.61230340390667,7.66107827461396,7.38273383874885,7.58735610380586,8.65723905225057,8.22398474867843,7.12518907147829,6.0728594474599,7.812615654585,8.32779042725856,6.51945190211308,7.15423567340054,6.68360195246109,7.90512036084553,8.49348599634994,7.83681073215917,8.79381758746085,3.56747708434693,5.04258719591632,7.59946331439306,7.59641009800017,5.26971167768266,7.65606452550268,0.0519750870464168,1.82745278028815,0.0227856533809883,-4.17700975139491,8.40473967495778,0.491419658527015,0.481798630896088,1,0.941513401459222,1
"d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__Holophaga; s__Holophaga sp002297665",-2.45487947638205,-2.42052700207638,-2.49214500706242,-2.98574204812926,-0.474824852356949,-2.52138575882209,-3.42216447677065,-3.13260201596916,-2.68444043608859,-2.45983807298101,-2.37245770540135,-2.84378900957871,-3.03440692917426,-2.24705834930166,-2.04802719400946,-2.96479750119394,-1.86881854915657,-2.62462580412334,-1.42626152689964,-3.03230869686989,-2.50207845910082,-3.08613632802242,-2.37448878296604,-0.0264857285482822,4.31921719927609,-0.00744531995405526,-4.23852766232775,4.01390513509331,0.496099844784822,0.737031111728328,1,0.724795135205352,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__SZUA-115; s__SZUA-115 sp003231035",-1.89930766489891,-1.45778106524686,-2.2985076140668,-2.10912167051607,0.550875401031609,-2.79108787764249,-2.79197240957333,-2.44650686510443,-2.80734726060069,-2.8273503620457,-1.86803851444513,-2.54621415941659,-3.26749303222786,0.527944852287831,-2.67013882358407,-2.6754903819485,0.527599473279707,-2.72400189972901,-1.70327822231343,-2.50606803590396,-3.14079173350701,-2.34800019505376,-0.550540738425767,-0.661396992375527,4.16490328260807,-0.142377323098732,-4.65161251598572,3.24295450596417,0.433697361581848,0.598090221919268,1,0.54801696223668,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01; s__",-2.19190150423043,-1.9240805204357,-2.44348639927616,-0.492042411618929,-2.78833551383151,-2.78647371974828,-3.03158782104708,-2.35606285102844,-2.48874133582997,-2.75823378797134,-2.42781550963321,-3.03009949602046,-2.71375059839582,-0.395357466479735,-2.33802515137711,-2.58323930226739,-2.30010460226986,-3.1083570943389,-1.43136535981122,-2.53222495094931,-0.219885453476255,-3.07048166092035,-3.05159907726761,-0.640632768073617,4.24191624003065,-0.126225736859607,-4.94880709068132,3.81146380739427,0.434375013585459,0.63437036160172,1,0.614640813424192,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01; s__WYBL01 sp011526565",-2.27214703317106,-1.82634940701272,-2.69976416000996,-2.9495959710169,-2.74936391159648,-2.69288043983896,-3.24617506213844,-2.25039714403107,-2.54112048523887,-2.78847961601234,-2.19265347932948,-2.33717680257832,-2.80792177535245,-0.244082064535899,-1.95010151886986,-2.94512979305334,-1.60466286281714,-2.85615021454203,-1.3718930638346,-3.10671376837577,-0.257408279525972,-2.42246029666385,-2.77424076828703,-0.888235275153429,4.25008797817121,-0.176090975863003,-4.42000161353493,3.52525849767258,0.410296430654863,0.572848715087943,1,0.519427735093854,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823; g__UBA11600; s__UBA11600 sp002714165",-2.38940018553427,-2.37136278525293,-2.40783774977627,-2.68209985885752,0.465790311029203,-2.70876733278404,-3.1578551523098,-3.56985822771755,-2.47183205875209,-2.16972594865486,-2.11747752691564,-2.89175733343435,-3.04847430971328,-2.47137706110395,-2.05754185735337,-2.50103371751626,-2.04326310809135,-2.70405355272525,-1.24654506861671,-2.61498329969665,-2.37277727876605,-3.17870504571893,-2.43964501516589,-0.00834290447357589,4.18179059258236,-0.00220460536519924,-3.98448583278334,3.9834065383035,0.499219968956955,0.736499768064768,1,0.732699225600251,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__AC-14; g__AC-14; s__AC-14 sp005888325",-2.04443951376683,-2.06791909191753,-2.02386306433283,-2.50896853944888,0.647644951038012,-0.395480673811729,-3.08219222581755,-2.08223367930007,-2.60873818151836,-2.73581649613644,-2.04971771350042,-2.55769544544123,-3.70993978827253,-2.18922509187963,-2.57892191070155,-0.126320828613942,-1.77954775287904,-2.63858215181472,-1.60466502162283,-2.36203288662553,-3.11145718381743,-2.73721343842801,-2.31276649892052,0.190611909684694,3.96113765356983,0.0453054440413585,-4.53546650044793,4.12460667675853,0.479687504139417,0.756645922358479,1,0.738599828963606,1
"d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales; f__RAAP-2; g__Bog-756; s__Bog-756 sp003138855",-2.50664522514613,-2.59706242504427,-2.40207450363535,-3.08581735310004,-2.73258192501077,-3.14211683733855,-2.78950092720803,0.652483959836639,-2.43068530032767,-2.37681921959824,-2.03473267462046,-3.19667982418949,-3.17064988429495,-2.70640587432874,-2.10000053807551,-2.98557721518345,-2.23446272253146,-2.70377299431916,-2.02119046727281,-2.37589569131456,-2.58133006288477,-3.45641919800495,-3.08364929333597,0.0796284595121897,4.19325026310753,0.022057723296107,-4.37875709139178,3.98853847990686,0.491419658527015,0.704802758035809,1,0.725780133662777,1
