"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ LETROZOLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Halobiforma; s__Halobiforma nitratireducens",14.7521076015276,15.2943412484561,13.7806354559521,14.5708719276966,14.1330307521524,15.6291303544491,15.5141964027339,9.1162990508963,16.0233952684703,15.6944575286502,15.0452641440271,12.641716848976,15.6267955595256,15.0976748401945,9.79164245585855,13.4417356324062,9.50399185602786,14.972735780154,11.4209231591632,12.0729493998131,14.1029653661184,17.0980070827954,15.3954515185523,-0.887502982772873,3.32336690050441,-0.312799190888223,-8.92231875951899,3.25281855693529,0.318750042454094,0.301412768390057,1,0.199320066060101,1
"d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales; f__Natrialbaceae; g__Natronorubrum; s__Natronorubrum sulfidifaciens",14.7424390562046,15.2825045804424,13.7654809939449,14.5642683694352,14.1307408237978,15.6204739802173,15.5017453339731,9.09946774901927,16.0123044360081,15.6856698481326,15.0349682864031,12.6302433505693,15.6191913785587,15.0845018185686,9.77676878302877,13.4317624955778,9.52243562440093,14.9694491936768,11.4253824997297,12.0611097807681,14.0943187389989,17.0913841153739,15.384691297535,-0.807575110232079,3.10647988299415,-0.283770144833921,-11.126557440801,4.70123180568821,0.310937544881972,0.302307713824228,1,0.199998240923164,1
"d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__Methanosarcina mazei",-1.7692067089732,-1.60009966684107,-1.98252011034017,-3.11404268054665,-2.39866829901261,-2.2864611290846,2.429408738955,-2.21315821158836,-0.418892486286696,-2.22314666306949,-0.602761353214689,-2.55664270721953,-3.08413665353999,-2.78176892316148,0.147315743378,-2.38088034723789,-2.35263511773223,-0.277156293229071,-2.01351103573535,-2.46439424069819,-3.24967404569048,-2.88888068013084,-2.9799734099418,-0.44518665662868,4.33467968362341,-0.0910559550344594,-4.44136459500541,3.24958746015044,0.44843751060317,0.63740247067511,1,0.683050212171729,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomassiliicoccaceae; g__DTU008; s__DTU008 sp001421185",7.65921258596203,7.68993125996424,7.63179742999394,6.39052743967086,8.64217312059563,7.06787062646162,7.94046449015276,6.64564258528233,7.69650289996382,6.26815420654364,7.92950480119817,7.68349081924092,8.2748313048607,7.87788458406901,8.49443617623013,7.84435108019141,8.77324444862783,3.62449788886768,5.03827297210794,7.58125907126255,7.57605623691623,5.24480648223555,7.62484139624161,-0.128279418140058,1.7119502588109,-0.0603015726876374,-7.95948721273943,3.49069624920552,0.453125009621297,0.432349497915494,1,0.732447373157029,1
"d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Methanomassiliicoccales; f__Methanomethylophilaceae; g__Methanomethylophilus; s__Methanomethylophilus sp002495325",-2.37963417164346,-2.37324069033683,-2.39870878327589,-2.934675430421,0.191098099697854,-2.34301689274756,-2.75017245954772,-2.43769746840392,-3.06106622438467,-2.45328703603573,-3.00087436886314,-2.59535133292096,-2.65918818595747,-2.41740270997301,-2.10846143370858,-3.40299956269775,-2.12100248654047,-2.77907787358379,-1.45302625370616,-2.59913678914831,-3.07064014144945,-2.427684573748,-2.06481195524562,-0.0471160173449334,4.32990550717959,-0.0080309548530774,-4.17461171440092,4.67823353552593,0.496099844784822,0.724575898351468,1,0.723275732587846,1
"d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrosocosmicus; s__Nitrosocosmicus oleophilus",-2.34178818774065,-2.21417524638262,-2.47140822969793,-2.69867665402964,-2.03851983662274,0.609136145796235,-2.14334799412189,-2.81106404273758,-2.4778677902877,-2.43259673481675,-3.22873515520479,-2.59950953431447,-2.64525908003528,-2.53326740300826,-2.68910477544068,-2.64922245232805,-1.5342142222188,-2.76586864358159,-1.65259250172146,-2.38964834133817,-2.60089759251517,-2.92171716180089,-3.19392824061032,-0.265431128393857,4.13034582900861,-0.0493398718676097,-3.65439395968502,4.34372147852441,0.471875005740203,0.689485672285894,1,0.700357921393622,1
"d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Acidobacteriaceae; g__Acidobacterium; s__Acidobacterium capsulatum",-2.45905627924728,-2.44662906716216,-2.48561986616321,-2.91920964990701,-3.34509520665756,-2.30578398744391,-2.45459280886341,-2.62994721204568,-2.89297109888484,-2.2071672219392,-0.529925439361927,-3.12649345237447,-2.51557381525631,-2.65767293137739,-1.7824580445869,-2.95794452551179,-1.86851849508781,-2.82296862760951,-1.94190501546854,-2.25007398771534,-3.1645711672357,-2.33530033713535,-2.65849069580985,-0.099409482846708,4.219485061654,-0.0199558702601139,-3.78238416816269,3.93368527397033,0.489062502226303,0.746829290070562,1,0.73469374810561,1
"d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__UBA5704; g__SZUA-115; s__SZUA-115 sp003231035",-1.86404162555069,-2.26773318008349,-1.40507922215021,-2.77335270993387,-2.13994773788576,-2.87979155678568,-2.97572736220362,-2.71737694523715,-2.96134021608657,-1.97289947159474,-3.26259044488751,-2.70843527874768,0.209467027344914,0.537671643507334,-2.14559323619317,-2.51173243319645,0.5364251649493,-2.88796109315076,-1.66485506013824,-2.13057354800526,-3.11871270098853,-2.41771412290531,-0.126165613142911,0.865240616011752,4.16802001146811,0.186191946886802,-3.40636168249343,4.975219530336,0.390015624064837,0.538299510002335,1,0.497973678797982,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01; s__",-1.20964708129074,-0.761262504062055,-1.73479977080486,0.486015900120833,-2.21959666080219,-2.2743409027811,-0.548022361674807,-2.64053292578648,0.370825024720251,0.0348006716803333,-0.372634829314913,-2.444648922457,-0.467220309663162,-0.257764784595723,-1.81912240032893,-2.63186287547413,-1.74373502088756,-2.86229972090458,-1.55935726913162,-2.36081105234851,-0.151081086876985,-2.95264237513305,-2.74346837902447,-0.831827070526897,3.54409474258878,-0.206523427278652,-6.32432504059533,3.29531433142719,0.390015624064837,0.460110913236554,1,0.446185441880101,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336; f__Fen-336; g__WYBL01; s__WYBL01 sp011526565",-1.31823363691487,-0.967841301184242,-1.80561115356387,-0.281901361647625,-2.71876731191918,-2.37141176821999,-0.419614746151582,-2.07065669862678,-0.474459972062093,-0.0697777559901258,-0.727401728280478,-2.4251353310748,-0.50254501076474,0.151333386469419,-1.99895780723046,-2.84037286232929,-1.62154546743504,-2.38451731666683,-1.810284578837,-2.58756535861613,-0.353483234900684,-2.81698216438036,-2.6136049853043,-0.726534055663082,3.4894163960478,-0.172079516805517,-5.16689414351591,3.22524076622863,0.398437521552161,0.496950417327182,1,0.523360202104397,1
"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823; g__UBA11600; s__UBA11600 sp002714165",-2.14399575073965,-1.80981964579614,-2.46173662971025,-0.459744594712213,-1.67416379307087,-2.64392534750685,-2.80417040982748,-2.47935285757161,-0.487462109233833,-2.77646829113475,-0.439488548655763,-2.74022331098285,-3.36434163627679,-2.58156867358482,-2.48919901313955,-2.45377761595131,-2.05084718751636,-2.71363212780788,-1.56405096438818,-3.29782614072272,-2.50164885074979,-2.38766260128521,-2.58017925506184,-0.540892310484253,3.95907957494017,-0.119774734468532,-4.43287248223709,3.48960796352096,0.435257423651159,0.651887122542096,1,0.645773936299768,1
