Mouse_ID,Condition,Age_weeks,Bodyweight_grams
1N,Placebo,4,10.5
1L,Placebo,4,10.8
2N,Placebo,4,11.3
2L,Placebo,4,13.8
3N,Placebo,4,14.9
3L,Placebo,4,14.2
4N,Placebo,4,13
4L,Placebo,4,11.1
5N,Placebo,4,12.2
5L,Placebo,4,12.5
6N,Letrozole,4,10.9
6L,Letrozole,4,14.1
7N,Letrozole,4,10.6
7L,Letrozole,4,11.6
8N,Letrozole,4,13.5
8L,Letrozole,4,13.8
9N,Letrozole,4,11.3
9L,Letrozole,4,13
10N,Letrozole,4,13.6
10L,Letrozole,4,10
11N,Placebo,4,10.2
11L,Placebo,4,11.8
12N,Placebo,4,12.2
12L,Placebo,4,13.7
13N,Placebo,4,14.8
13L,Placebo,4,13.8
14N,Placebo,4,10.2
14L,Placebo,4,11.2
15N,Placebo,4,11.8
15L,Placebo,4,12.9
16N,Letrozole,4,12.3
16L,Letrozole,4,9.9
17N,Letrozole,4,13.4
17L,Letrozole,4,12.2
18N,Letrozole,4,11.6
18L,Letrozole,4,13.5
19N,Letrozole,4,13.4
19L,Letrozole,4,12.5
20N,Letrozole,4,12.7
20L,Letrozole,4,14.1
1N,Placebo,5,14.5
1L,Placebo,5,13.4
2N,Placebo,5,15.2
2L,Placebo,5,15
3N,Placebo,5,14.3
3L,Placebo,5,15.2
4N,Placebo,5,14
4L,Placebo,5,12.3
5N,Placebo,5,13.6
5L,Placebo,5,13.7
6N,Letrozole,5,16.4
6L,Letrozole,5,15.1
7N,Letrozole,5,14.8
7L,Letrozole,5,14.9
8N,Letrozole,5,15.4
8L,Letrozole,5,15.8
9N,Letrozole,5,14.9
9L,Letrozole,5,14.3
10N,Letrozole,5,15.4
10L,Letrozole,5,14.1
11N,Placebo,5,13.8
11L,Placebo,5,13.9
12N,Placebo,5,15
12L,Placebo,5,14.6
13N,Placebo,5,15.2
13L,Placebo,5,15.5
14N,Placebo,5,12.9
14L,Placebo,5,12.5
15N,Placebo,5,14
15L,Placebo,5,13.7
16N,Letrozole,5,14.9
16L,Letrozole,5,13.9
17N,Letrozole,5,14.8
17L,Letrozole,5,14.5
18N,Letrozole,5,13.6
18L,Letrozole,5,15.5
19N,Letrozole,5,16.9
19L,Letrozole,5,15.1
20N,Letrozole,5,15
20L,Letrozole,5,16.4
1N,Placebo,6,16.9
1L,Placebo,6,15.2
2N,Placebo,6,17.1
2L,Placebo,6,15.3
3N,Placebo,6,16.7
3L,Placebo,6,15.1
4N,Placebo,6,14.6
4L,Placebo,6,13.2
5N,Placebo,6,14.2
5L,Placebo,6,14.6
6N,Letrozole,6,16.5
6L,Letrozole,6,15.4
7N,Letrozole,6,16.7
7L,Letrozole,6,17.6
8N,Letrozole,6,16.2
8L,Letrozole,6,17.7
9N,Letrozole,6,16.3
9L,Letrozole,6,14.5
10N,Letrozole,6,15.7
10L,Letrozole,6,16.4
11N,Placebo,6,16.1
11L,Placebo,6,14.9
12N,Placebo,6,16.4
12L,Placebo,6,14.2
13N,Placebo,6,15.5
13L,Placebo,6,16.3
14N,Placebo,6,14.8
14L,Placebo,6,13
15N,Placebo,6,14.8
15L,Placebo,6,14.3
16N,Letrozole,6,16.4
16L,Letrozole,6,14.7
17N,Letrozole,6,15.4
17L,Letrozole,6,16.2
18N,Letrozole,6,14.8
18L,Letrozole,6,16.4
19N,Letrozole,6,18.1
19L,Letrozole,6,15.9
20N,Letrozole,6,16.1
20L,Letrozole,6,16.7
1N,Placebo,7,17.2
1L,Placebo,7,16.8
2N,Placebo,7,17.9
2L,Placebo,7,15.3
3N,Placebo,7,17
3L,Placebo,7,15.8
4N,Placebo,7,16.4
4L,Placebo,7,13.6
5N,Placebo,7,14.9
5L,Placebo,7,16.2
6N,Letrozole,7,17.9
6L,Letrozole,7,17
7N,Letrozole,7,17.6
7L,Letrozole,7,17.6
8N,Letrozole,7,16.8
8L,Letrozole,7,18.7
9N,Letrozole,7,17.5
