Mouse_ID,Condition,Age_weeks,Bodyweight_grams,Percent_baseline
1N,Placebo,4,10.5,0
1L,Placebo,4,10.8,0
2N,Placebo,4,11.3,0
2L,Placebo,4,13.8,0
3N,Placebo,4,14.9,0
3L,Placebo,4,14.2,0
4N,Placebo,4,13,0
4L,Placebo,4,11.1,0
5N,Placebo,4,12.2,0
5L,Placebo,4,12.5,0
6N,Letrozole,4,10.9,0
6L,Letrozole,4,14.1,0
7N,Letrozole,4,10.6,0
7L,Letrozole,4,11.6,0
8N,Letrozole,4,13.5,0
8L,Letrozole,4,13.8,0
9N,Letrozole,4,11.3,0
9L,Letrozole,4,13,0
10N,Letrozole,4,13.6,0
10L,Letrozole,4,10,0
11N,Placebo,4,10.2,0
11L,Placebo,4,11.8,0
12N,Placebo,4,12.2,0
12L,Placebo,4,13.7,0
13N,Placebo,4,14.8,0
13L,Placebo,4,13.8,0
14N,Placebo,4,10.2,0
14L,Placebo,4,11.2,0
15N,Placebo,4,11.8,0
15L,Placebo,4,12.9,0
16N,Letrozole,4,12.3,0
16L,Letrozole,4,9.9,0
17N,Letrozole,4,13.4,0
17L,Letrozole,4,12.2,0
18N,Letrozole,4,11.6,0
18L,Letrozole,4,13.5,0
19N,Letrozole,4,13.4,0
19L,Letrozole,4,12.5,0
20N,Letrozole,4,12.7,0
20L,Letrozole,4,14.1,0
1N,Placebo,5,14.5,38.0952381
1L,Placebo,5,13.4,24.07407407
2N,Placebo,5,15.2,34.51327434
2L,Placebo,5,15,8.695652174
3N,Placebo,5,14.3,-4.026845638
3L,Placebo,5,15.2,7.042253521
4N,Placebo,5,14,7.692307692
4L,Placebo,5,12.3,10.81081081
5N,Placebo,5,13.6,11.47540984
5L,Placebo,5,13.7,9.6
6N,Letrozole,5,16.4,50.4587156
6L,Letrozole,5,15.1,7.092198582
7N,Letrozole,5,14.8,39.62264151
7L,Letrozole,5,14.9,28.44827586
8N,Letrozole,5,15.4,14.07407407
8L,Letrozole,5,15.8,14.49275362
9N,Letrozole,5,14.9,31.85840708
9L,Letrozole,5,14.3,10
10N,Letrozole,5,15.4,13.23529412
10L,Letrozole,5,14.1,41
11N,Placebo,5,13.8,35.29411765
11L,Placebo,5,13.9,17.79661017
12N,Placebo,5,15,22.95081967
12L,Placebo,5,14.6,6.569343066
13N,Placebo,5,15.2,2.702702703
13L,Placebo,5,15.5,12.31884058
14N,Placebo,5,12.9,26.47058824
14L,Placebo,5,12.5,11.60714286
15N,Placebo,5,14,18.6440678
15L,Placebo,5,13.7,6.201550388
16N,Letrozole,5,14.9,21.13821138
16L,Letrozole,5,13.9,40.4040404
17N,Letrozole,5,14.8,10.44776119
17L,Letrozole,5,14.5,18.85245902
18N,Letrozole,5,13.6,17.24137931
18L,Letrozole,5,15.5,14.81481481
19N,Letrozole,5,16.9,26.11940299
19L,Letrozole,5,15.1,20.8
20N,Letrozole,5,15,18.11023622
20L,Letrozole,5,16.4,16.31205674
1N,Placebo,6,16.9,60.95238095
1L,Placebo,6,15.2,40.74074074
2N,Placebo,6,17.1,51.32743363
2L,Placebo,6,15.3,10.86956522
3N,Placebo,6,16.7,12.08053691
3L,Placebo,6,15.1,6.338028169
4N,Placebo,6,14.6,12.30769231
4L,Placebo,6,13.2,18.91891892
5N,Placebo,6,14.2,16.39344262
5L,Placebo,6,14.6,16.8
6N,Letrozole,6,16.5,51.37614679
6L,Letrozole,6,15.4,9.219858156
7N,Letrozole,6,16.7,57.54716981
7L,Letrozole,6,17.6,51.72413793
8N,Letrozole,6,16.2,20
8L,Letrozole,6,17.7,28.26086957
9N,Letrozole,6,16.3,44.24778761
9L,Letrozole,6,14.5,11.53846154
10N,Letrozole,6,15.7,15.44117647
10L,Letrozole,6,16.4,64
11N,Placebo,6,16.1,57.84313725
11L,Placebo,6,14.9,26.27118644
12N,Placebo,6,16.4,34.42622951
12L,Placebo,6,14.2,3.649635036
13N,Placebo,6,15.5,4.72972973
13L,Placebo,6,16.3,18.11594203
14N,Placebo,6,14.8,45.09803922
14L,Placebo,6,13,16.07142857
15N,Placebo,6,14.8,25.42372881
15L,Placebo,6,14.3,10.85271318
16N,Letrozole,6,16.4,33.33333333
16L,Letrozole,6,14.7,48.48484848
17N,Letrozole,6,15.4,14.92537313
17L,Letrozole,6,16.2,32.78688525
18N,Letrozole,6,14.8,27.5862069
18L,Letrozole,6,16.4,21.48148148
19N,Letrozole,6,18.1,35.07462687
19L,Letrozole,6,15.9,27.2
20N,Letrozole,6,16.1,26.77165354
20L,Letrozole,6,16.7,18.43971631
1N,Placebo,7,17.2,63.80952381
1L,Placebo,7,16.8,55.55555556
2N,Placebo,7,17.9,58.40707965
2L,Placebo,7,15.3,10.86956522
3N,Placebo,7,17,14.09395973
3L,Placebo,7,15.8,11.26760563
4N,Placebo,7,16.4,26.15384615
4L,Placebo,7,13.6,22.52252252
5N,Placebo,7,14.9,22.13114754
5L,Placebo,7,16.2,29.6
6N,Letrozole,7,17.9,64.22018349
6L,Letrozole,7,17,20.56737589
7N,Letrozole,7,17.6,66.03773585
7L,Letrozole,7,17.6,51.72413793
8N,Letrozole,7,16.8,24.44444444
8L,Letrozole,7,18.7,35.50724638
9N,Letrozole,7,17.5,54.86725664
9L,Letrozole,7,15.1,16.15384615
10N,Letrozole,7,16,17.64705882
10L,Letrozole,7,17.5,75
11N,Placebo,7,18,76.47058824
11L,Placebo,7,16.1,36.44067797
12N,Placebo,7,17.4,42.62295082
12L,Placebo,7,14.8,8.02919708
13N,Placebo,7,16.9,14.18918919
13L,Placebo,7,17.7,28.26086957
14N,Placebo,7,15.5,51.96078431
14L,Placebo,7,13.7,22.32142857
15N,Placebo,7,15,27.11864407
15L,Placebo,7,15.1,17.05426357
16N,Letrozole,7,17,38.21138211
16L,Letrozole,7,15.1,52.52525253
17N,Letrozole,7,16.7,24.62686567
17L,Letrozole,7,16.9,38.52459016
18N,Letrozole,7,15,29.31034483
18L,Letrozole,7,17.4,28.88888889
19N,Letrozole,7,19.4,44.7761194
19L,Letrozole,7,16,28
20N,Letrozole,7,17.2,35.43307087
20L,Letrozole,7,17,20.56737589
1N,Placebo,8,18.5,76.19047619
1L,Placebo,8,19.4,79.62962963
2N,Placebo,8,18.7,65.48672566
2L,Placebo,8,16.9,22.46376812
3N,Placebo,8,17.6,18.12080537
3L,Placebo,8,16.2,14.08450704
4N,Placebo,8,17.2,32.30769231
4L,Placebo,8,15.2,36.93693694
5N,Placebo,8,15.5,27.04918033
5L,Placebo,8,16.3,30.4
6N,Letrozole,8,20,83.48623853
6L,Letrozole,8,19.3,36.87943262
7N,Letrozole,8,18.3,72.64150943
7L,Letrozole,8,18.8,62.06896552
8N,Letrozole,8,18.5,37.03703704
8L,Letrozole,8,20.8,50.72463768
9N,Letrozole,8,19.1,69.02654867
9L,Letrozole,8,16.8,29.23076923
10N,Letrozole,8,17.9,31.61764706
10L,Letrozole,8,18.3,83
11N,Placebo,8,19,86.2745098
11L,Placebo,8,17.2,45.76271186
12N,Placebo,8,18.6,52.45901639
12L,Placebo,8,16.4,19.7080292
13N,Placebo,8,17.5,18.24324324
13L,Placebo,8,17.6,27.53623188
14N,Placebo,8,15,47.05882353
14L,Placebo,8,15.1,34.82142857
15N,Placebo,8,16,35.59322034
15L,Placebo,8,16,24.03100775
16N,Letrozole,8,17.7,43.90243902
16L,Letrozole,8,16.8,69.6969697
17N,Letrozole,8,19.9,48.50746269
17L,Letrozole,8,19.4,59.01639344
18N,Letrozole,8,16.1,38.79310345
18L,Letrozole,8,19.9,47.40740741
19N,Letrozole,8,20.2,50.74626866
19L,Letrozole,8,17.7,41.6
20N,Letrozole,8,19.1,50.39370079
20L,Letrozole,8,19.3,36.87943262
